PLOT;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
ADO01;-11.8;-11.9;-10.4;-8.6;-6.6;-4.9;-3.2;-3.8;-5.4;-7.7;-10.3;-10.8
ADO02;-11.8;-11.9;-10.4;-8.6;-6.6;-4.9;-3.2;-3.8;-5.4;-7.7;-10.3;-10.8
ADO03;-11.7;-11.9;-10.3;-8.6;-6.6;-4.9;-3.2;-3.7;-5.3;-7.7;-10.3;-10.7
ALU01;-11.9;-12.1;-10.5;-8.8;-6.8;-5.1;-3.3;-3.9;-5.5;-7.8;-10.5;-10.9
ALU02;-12;-12.1;-10.6;-8.8;-6.8;-5.1;-3.3;-3.9;-5.5;-7.8;-10.6;-11
ALU03;-12;-12.2;-10.6;-8.9;-6.8;-5.2;-3.3;-3.9;-5.5;-7.9;-10.6;-11
ALU04;-12;-12.2;-10.6;-8.9;-6.9;-5.2;-3.3;-3.9;-5.6;-7.9;-10.6;-11
ALU05;-12;-12.2;-10.6;-8.9;-6.9;-5.2;-3.3;-3.9;-5.6;-7.9;-10.6;-11
ALU06;-12;-12.1;-10.6;-8.8;-6.8;-5.1;-3.3;-3.9;-5.5;-7.9;-10.6;-11
ALU07;-12;-12.2;-10.6;-8.9;-6.8;-5.2;-3.3;-3.9;-5.5;-7.9;-10.6;-11
ALU08;-12;-12.2;-10.6;-8.9;-6.9;-5.2;-3.3;-3.9;-5.6;-7.9;-10.6;-11
BAS01;-10.3;-10.3;-9.1;-7.3;-5.3;-3.7;-2.3;-2.8;-4.2;-6.6;-8.7;-9.3
BAS02;-10.2;-10.3;-9.1;-7.3;-5.3;-3.7;-2.2;-2.7;-4.1;-6.5;-8.7;-9.3
BAS03;-10.2;-10.2;-9;-7.2;-5.2;-3.6;-2.2;-2.7;-4.1;-6.5;-8.6;-9.2
BAS04;-10.2;-10.3;-9.1;-7.3;-5.3;-3.7;-2.2;-2.7;-4.1;-6.5;-8.7;-9.3
BAS05;-10.2;-10.2;-9;-7.3;-5.2;-3.6;-2.2;-2.7;-4.1;-6.5;-8.7;-9.2
BAS06;-10.1;-10.2;-9;-7.2;-5.2;-3.6;-2.2;-2.7;-4;-6.4;-8.6;-9.2
CED01;-11.6;-11.9;-10.1;-8.5;-6.6;-4.8;-3;-3.6;-5.2;-7.6;-10.2;-10.7
CED02;-11.6;-11.9;-10.1;-8.5;-6.6;-4.8;-3;-3.6;-5.2;-7.6;-10.2;-10.7
CED03;-11.6;-11.8;-10.1;-8.5;-6.5;-4.8;-3;-3.6;-5.2;-7.6;-10.2;-10.6
CED04;-11.6;-11.8;-10.1;-8.5;-6.5;-4.8;-3;-3.6;-5.2;-7.6;-10.2;-10.6
CED05;-11.7;-11.9;-10.2;-8.6;-6.6;-4.9;-3;-3.7;-5.3;-7.6;-10.3;-10.6
CED06;-11.6;-11.8;-10.1;-8.5;-6.5;-4.8;-3;-3.6;-5.2;-7.5;-10.2;-10.6
COR01;-11.2;-11.3;-9.7;-8.1;-6.1;-4.4;-2.7;-3.3;-4.9;-7.2;-9.7;-10.2
COR02;-11.2;-11.4;-9.8;-8.1;-6.2;-4.5;-2.7;-3.4;-4.9;-7.2;-9.8;-10.2
COR03;-11.3;-11.4;-9.8;-8.2;-6.2;-4.5;-2.7;-3.4;-5;-7.2;-9.8;-10.3
COR04;-11.3;-11.4;-9.8;-8.2;-6.2;-4.5;-2.8;-3.4;-5;-7.3;-9.8;-10.3
COR05;-11.2;-11.3;-9.7;-8.1;-6.1;-4.4;-2.7;-3.3;-4.9;-7.2;-9.7;-10.2
COR06;-11.3;-11.5;-9.8;-8.2;-6.2;-4.5;-2.8;-3.4;-5;-7.3;-9.8;-10.3
GUA01;-11.7;-11.7;-10.6;-8.8;-6.6;-4.8;-3.2;-3.6;-5.3;-7.7;-10.3;-10.7
GUA04;-11.4;-11.4;-10.3;-8.5;-6.3;-4.6;-3;-3.4;-5.1;-7.5;-10;-10.4
GUA05;-11.4;-11.4;-10.3;-8.5;-6.3;-4.6;-3;-3.4;-5.1;-7.4;-10;-10.3
GUA06;-11.4;-11.3;-10.3;-8.4;-6.3;-4.5;-2.9;-3.4;-5;-7.4;-9.9;-10.3
GUA07;-11.2;-11.1;-10.1;-8.3;-6.1;-4.4;-2.8;-3.3;-4.9;-7.3;-9.7;-10.1
GUA08;-11.2;-11.1;-10.1;-8.2;-6.1;-4.3;-2.8;-3.2;-4.9;-7.2;-9.7;-10.1
GUA09;-11.2;-11.2;-10.1;-8.3;-6.1;-4.4;-2.8;-3.3;-4.9;-7.3;-9.8;-10.2
GUA10;-11.9;-11.9;-10.8;-8.9;-6.7;-5;-3.3;-3.7;-5.4;-7.9;-10.5;-10.8
GUA11;-11.9;-11.9;-10.8;-9;-6.8;-5;-3.3;-3.7;-5.4;-7.9;-10.5;-10.9
GUA12;-11.8;-11.8;-10.7;-8.9;-6.7;-4.9;-3.2;-3.7;-5.4;-7.8;-10.4;-10.8
GUA13;-11.8;-11.8;-10.7;-8.8;-6.6;-4.9;-3.2;-3.6;-5.3;-7.8;-10.4;-10.7
GUA14;-11.8;-11.8;-10.7;-8.9;-6.7;-4.9;-3.2;-3.6;-5.4;-7.8;-10.4;-10.8
GUA15;-11.8;-11.8;-10.7;-8.8;-6.7;-4.9;-3.2;-3.6;-5.3;-7.8;-10.4;-10.7
NAV01;-9.9;-9.7;-8.9;-7.1;-5;-3.3;-1.9;-2.5;-4;-6.1;-8.4;-8.9
