"","site","elev_mean","MAP_mean","T_max_mean","T_min_mean","spei12_mean","spei18_mean","spei24_mean"
"1","Adobes",1428.51533333333,528.627716894977,15.6174900402342,2.27577486044843,-0.0959200485018086,-0.108683266135526,-0.121436591562841
"2","Alustante",1561.244125,570.05426369863,14.6311910353392,1.67303375911473,-0.0959200485018086,-0.108683266135526,-0.121436591562841
"3","Basari",718.691333333333,904.410319634703,16.5245499779363,5.70127075807153,-0.0535027436840742,-0.0576114013404608,-0.0608837161730211
"4","Cedrillas",1503.739,523.820639269406,14.7599454368833,2.79408613812247,-0.0021631405969372,0.00673441643730177,0.0113724082749524
"5","Corbalan",1297.3515,452.753630136986,16.3028196490591,3.52622753169327,-0.0021631405969372,0.00673441643730177,0.0113724082749524
"6","Fago",956.694,958.142849315068,15.2635915851712,4.38936681955728,-0.0535027436840742,-0.0576114013404608,-0.0608837161730211
"7","Guadarrama",1408.68353846154,655.276849315068,14.5341757024209,5.65103377058172,-0.144865714447184,-0.176405452404733,-0.199865862181599
"8","Navas",683.009,360.795429638854,19.9142603392268,8.72162665632667,-0.202988888048748,-0.239403881966126,-0.266729973421772
"9","Oza",1180.075,1023.48356164384,13.2108900141201,3.63253499821064,-0.0535027436840742,-0.0576114013404608,-0.0608837161730211
"10","Pelayos",823.461,377.878630136986,19.2946696814112,8.11917951060647,-0.202988888048748,-0.239403881966126,-0.266729973421772
"11","Roncal",801.473333333333,964.818219178082,15.8651950396172,5.47096870100399,-0.0535027436840742,-0.0576114013404608,-0.0608837161730211
"12","Sarries",792.108666666667,978.146301369863,15.766860648047,5.52767881588217,-0.120233304370567,-0.135979425164027,-0.149205910747893
"13","Traid",1457.448,535.702739726027,15.3857047108973,2.17226272370891,-0.0959200485018086,-0.108683266135526,-0.121436591562841
"14","Urzainki",1257.27766666667,1081.36431506849,13.7959437924461,3.35278022067793,-0.0535027436840742,-0.0576114013404608,-0.0608837161730211
