"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"1","Abialba_hotspot","Abialba_coldspot",1,"wc_22","resp"
"2","Pinpine_coldspot","Abialba_coldspot",0.00047181380721532,"wc_22","resp"
"3","Pinpine_hotspot","Abialba_coldspot",1.24721943598769e-09,"wc_22","resp"
"4","Pinsylv_coldspot","Abialba_coldspot",1.00210343341028e-15,"wc_22","resp"
"5","Pinsylv_hotspot","Abialba_coldspot",7.0926822629106e-05,"wc_22","resp"
"6","Abialba_hotspot","Abialba_hotspot",NA,"wc_22","resp"
"7","Pinpine_coldspot","Abialba_hotspot",5.8547984441331e-06,"wc_22","resp"
"8","Pinpine_hotspot","Abialba_hotspot",1.62150975994637e-14,"wc_22","resp"
"9","Pinsylv_coldspot","Abialba_hotspot",5.42221210608475e-19,"wc_22","resp"
"10","Pinsylv_hotspot","Abialba_hotspot",1.34398753786546e-09,"wc_22","resp"
"11","Abialba_hotspot","Pinpine_coldspot",NA,"wc_22","resp"
"12","Pinpine_coldspot","Pinpine_coldspot",NA,"wc_22","resp"
"13","Pinpine_hotspot","Pinpine_coldspot",1,"wc_22","resp"
"14","Pinsylv_coldspot","Pinpine_coldspot",0.115793162131532,"wc_22","resp"
"15","Pinsylv_hotspot","Pinpine_coldspot",0.532016258543874,"wc_22","resp"
"16","Abialba_hotspot","Pinpine_hotspot",NA,"wc_22","resp"
"17","Pinpine_coldspot","Pinpine_hotspot",NA,"wc_22","resp"
"18","Pinpine_hotspot","Pinpine_hotspot",NA,"wc_22","resp"
"19","Pinsylv_coldspot","Pinpine_hotspot",5.62158948173007e-05,"wc_22","resp"
"20","Pinsylv_hotspot","Pinpine_hotspot",0.00536104445911424,"wc_22","resp"
"21","Abialba_hotspot","Pinsylv_coldspot",NA,"wc_22","resp"
"22","Pinpine_coldspot","Pinsylv_coldspot",NA,"wc_22","resp"
"23","Pinpine_hotspot","Pinsylv_coldspot",NA,"wc_22","resp"
"24","Pinsylv_coldspot","Pinsylv_coldspot",NA,"wc_22","resp"
"25","Pinsylv_hotspot","Pinsylv_coldspot",2.13604544730971e-13,"wc_22","resp"
"26","Abialba_hotspot","Abialba_coldspot",0.0201266589552369,"ewt_22","resp"
"27","Pinpine_coldspot","Abialba_coldspot",1.51183177016277e-09,"ewt_22","resp"
"28","Pinpine_hotspot","Abialba_coldspot",7.12312655281341e-17,"ewt_22","resp"
"29","Pinsylv_coldspot","Abialba_coldspot",3.96132775527714e-07,"ewt_22","resp"
"30","Pinsylv_hotspot","Abialba_coldspot",0.0263567408925751,"ewt_22","resp"
"31","Abialba_hotspot","Abialba_hotspot",NA,"ewt_22","resp"
"32","Pinpine_coldspot","Abialba_hotspot",4.51548378777434e-09,"ewt_22","resp"
"33","Pinpine_hotspot","Abialba_hotspot",1.3998081381235e-14,"ewt_22","resp"
"34","Pinsylv_coldspot","Abialba_hotspot",0.0304362452631801,"ewt_22","resp"
"35","Pinsylv_hotspot","Abialba_hotspot",1,"ewt_22","resp"
"36","Abialba_hotspot","Pinpine_coldspot",NA,"ewt_22","resp"
"37","Pinpine_coldspot","Pinpine_coldspot",NA,"ewt_22","resp"
"38","Pinpine_hotspot","Pinpine_coldspot",0.0189330230414109,"ewt_22","resp"
"39","Pinsylv_coldspot","Pinpine_coldspot",1.33601650392344e-07,"ewt_22","resp"
"40","Pinsylv_hotspot","Pinpine_coldspot",3.10460066828914e-10,"ewt_22","resp"
"41","Abialba_hotspot","Pinpine_hotspot",NA,"ewt_22","resp"
"42","Pinpine_coldspot","Pinpine_hotspot",NA,"ewt_22","resp"
"43","Pinpine_hotspot","Pinpine_hotspot",NA,"ewt_22","resp"
"44","Pinsylv_coldspot","Pinpine_hotspot",1.15817088668521e-08,"ewt_22","resp"
"45","Pinsylv_hotspot","Pinpine_hotspot",3.76548894568892e-18,"ewt_22","resp"
"46","Abialba_hotspot","Pinsylv_coldspot",NA,"ewt_22","resp"
"47","Pinpine_coldspot","Pinsylv_coldspot",NA,"ewt_22","resp"
"48","Pinpine_hotspot","Pinsylv_coldspot",NA,"ewt_22","resp"
"49","Pinsylv_coldspot","Pinsylv_coldspot",NA,"ewt_22","resp"
"50","Pinsylv_hotspot","Pinsylv_coldspot",0.00175007147670948,"ewt_22","resp"
"51","Abialba_hotspot","Abialba_coldspot",0.103840527897736,"sla_22","resp"
"52","Pinpine_coldspot","Abialba_coldspot",1,"sla_22","resp"
"53","Pinpine_hotspot","Abialba_coldspot",0.00552059575624739,"sla_22","resp"
"54","Pinsylv_coldspot","Abialba_coldspot",0.0419415919492078,"sla_22","resp"
"55","Pinsylv_hotspot","Abialba_coldspot",0.00956595803025911,"sla_22","resp"
"56","Abialba_hotspot","Abialba_hotspot",NA,"sla_22","resp"
"57","Pinpine_coldspot","Abialba_hotspot",1,"sla_22","resp"
"58","Pinpine_hotspot","Abialba_hotspot",1,"sla_22","resp"
"59","Pinsylv_coldspot","Abialba_hotspot",1,"sla_22","resp"
"60","Pinsylv_hotspot","Abialba_hotspot",1,"sla_22","resp"
"61","Abialba_hotspot","Pinpine_coldspot",NA,"sla_22","resp"
"62","Pinpine_coldspot","Pinpine_coldspot",NA,"sla_22","resp"
"63","Pinpine_hotspot","Pinpine_coldspot",0.307986396920213,"sla_22","resp"
"64","Pinsylv_coldspot","Pinpine_coldspot",1,"sla_22","resp"
"65","Pinsylv_hotspot","Pinpine_coldspot",1,"sla_22","resp"
"66","Abialba_hotspot","Pinpine_hotspot",NA,"sla_22","resp"
"67","Pinpine_coldspot","Pinpine_hotspot",NA,"sla_22","resp"
