"","Group1","Group2","P_value_adjusted","Variable","Tipo"
"1","Abialba_hotspot","Abialba_coldspot",0.00119204518625865,"height","vuln"
"2","Pinpine_coldspot","Abialba_coldspot",8.74429505682673e-10,"height","vuln"
"3","Pinpine_hotspot","Abialba_coldspot",7.27526976029577e-20,"height","vuln"
"4","Pinsylv_coldspot","Abialba_coldspot",1.23038811171439e-21,"height","vuln"
"5","Pinsylv_hotspot","Abialba_coldspot",2.21484912285813e-26,"height","vuln"
"6","Abialba_hotspot","Abialba_hotspot",NA,"height","vuln"
"7","Pinpine_coldspot","Abialba_hotspot",4.67149177912775e-08,"height","vuln"
"8","Pinpine_hotspot","Abialba_hotspot",1.39858677184561e-18,"height","vuln"
"9","Pinsylv_coldspot","Abialba_hotspot",6.85265636755034e-15,"height","vuln"
"10","Pinsylv_hotspot","Abialba_hotspot",6.98054449476645e-24,"height","vuln"
"11","Abialba_hotspot","Pinpine_coldspot",NA,"height","vuln"
"12","Pinpine_coldspot","Pinpine_coldspot",NA,"height","vuln"
"13","Pinpine_hotspot","Pinpine_coldspot",0.0405506081221609,"height","vuln"
"14","Pinsylv_coldspot","Pinpine_coldspot",1,"height","vuln"
"15","Pinsylv_hotspot","Pinpine_coldspot",0.995935089823751,"height","vuln"
"16","Abialba_hotspot","Pinpine_hotspot",NA,"height","vuln"
"17","Pinpine_coldspot","Pinpine_hotspot",NA,"height","vuln"
"18","Pinpine_hotspot","Pinpine_hotspot",NA,"height","vuln"
"19","Pinsylv_coldspot","Pinpine_hotspot",4.06946438299598e-07,"height","vuln"
"20","Pinsylv_hotspot","Pinpine_hotspot",0.0438780865578104,"height","vuln"
"21","Abialba_hotspot","Pinsylv_coldspot",NA,"height","vuln"
"22","Pinpine_coldspot","Pinsylv_coldspot",NA,"height","vuln"
"23","Pinpine_hotspot","Pinsylv_coldspot",NA,"height","vuln"
"24","Pinsylv_coldspot","Pinsylv_coldspot",NA,"height","vuln"
