"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant"
"1","hot_healthy","cold_healthy",2.72821997649446e-10,"height","var",1
"2","hot_damaged","cold_healthy",9.75268209213957e-15,"height","var",1
"4","hot_damaged","hot_healthy",1,"height","var",0
"5","hot_healthy","cold_healthy",0.0040229598800777,"dbh","var",1
"6","hot_damaged","cold_healthy",4.42240208149775e-06,"dbh","var",1
"8","hot_damaged","hot_healthy",0.926005347870528,"dbh","var",0
"9","hot_healthy","cold_healthy",0.00167430502897335,"age","var",1
"10","hot_damaged","cold_healthy",3.62211631576225e-18,"age","var",1
"12","hot_damaged","hot_healthy",2.92793383428287e-05,"age","var",1
"13","hot_healthy","cold_healthy",4.18051486803473e-13,"hegyi_index","var",1
"14","hot_damaged","cold_healthy",3.95314544554128e-05,"hegyi_index","var",1
"16","hot_damaged","hot_healthy",0.00257463829091956,"hegyi_index","var",1
"17","hot_healthy","cold_healthy",7.88817382466847e-15,"mean_bai","var",1
"18","hot_damaged","cold_healthy",2.15183523002068e-28,"mean_bai","var",1
"20","hot_damaged","hot_healthy",0.000379401372285399,"mean_bai","var",1
"21","hot_healthy","cold_healthy",1.38101153749504e-10,"mean_1980","var",1
"22","hot_damaged","cold_healthy",2.526283350924e-30,"mean_1980","var",1
"24","hot_damaged","hot_healthy",9.37702548491739e-10,"mean_1980","var",1
"25","hot_healthy","cold_healthy",7.42624483238509e-05,"mean_20","var",1
"26","hot_damaged","cold_healthy",4.13245387839763e-31,"mean_20","var",1
"28","hot_damaged","hot_healthy",3.354876012657e-16,"mean_20","var",1
"29","hot_healthy","cold_healthy",9.2244016700855e-05,"mean_15","var",1
"30","hot_damaged","cold_healthy",6.84659077194593e-33,"mean_15","var",1
"32","hot_damaged","hot_healthy",8.67447447147044e-17,"mean_15","var",1
"33","hot_healthy","cold_healthy",0.00296957521098862,"mean_10","var",1
"34","hot_damaged","cold_healthy",3.06334255347916e-33,"mean_10","var",1
"36","hot_damaged","hot_healthy",8.16300853207065e-19,"mean_10","var",1
"37","hot_healthy","cold_healthy",0.00803520826465299,"mean_05","var",1
"38","hot_damaged","cold_healthy",4.56660332487821e-31,"mean_05","var",1
"40","hot_damaged","hot_healthy",4.39466728492129e-18,"mean_05","var",1
"41","hot_healthy","cold_healthy",7.16870984275178e-06,"Rt12","var",1
"42","hot_damaged","cold_healthy",9.27089175735056e-13,"Rt12","var",1
"44","hot_damaged","hot_healthy",0.0188142781894516,"Rt12","var",1
"45","hot_healthy","cold_healthy",1,"Rt17","var",0
"46","hot_damaged","cold_healthy",0.173513853147352,"Rt17","var",0
"48","hot_damaged","hot_healthy",0.398603989396984,"Rt17","var",0
"49","hot_healthy","cold_healthy",4.12256866652149e-05,"Rt22","var",1
"50","hot_damaged","cold_healthy",0.111719359524995,"Rt22","var",0
"52","hot_damaged","hot_healthy",0.0837947251683473,"Rt22","var",0
"53","hot_healthy","cold_healthy",0.911025929984334,"Rs12","var",0
"54","hot_damaged","cold_healthy",2.1031613645937e-12,"Rs12","var",1
"56","hot_damaged","hot_healthy",1.1143623145788e-12,"Rs12","var",1
"57","hot_healthy","cold_healthy",1,"Rs17","var",0
"58","hot_damaged","cold_healthy",0.00096403226877752,"Rs17","var",1
"60","hot_damaged","hot_healthy",0.0327257391261836,"Rs17","var",1
"61","hot_healthy","cold_healthy",1.70401048855554e-05,"wc_22","var",1
"62","hot_damaged","cold_healthy",3.17168660108693e-14,"wc_22","var",1
"64","hot_damaged","hot_healthy",0.0024036797444255,"wc_22","var",1
"65","hot_healthy","cold_healthy",6.91655638917185e-05,"sla_22","var",1
"66","hot_damaged","cold_healthy",0.011983688629423,"sla_22","var",1
"68","hot_damaged","hot_healthy",0.111980057241187,"sla_22","var",0
"69","hot_healthy","cold_healthy",3.23899933041822e-06,"total_chl_fw_22","var",1
"70","hot_damaged","cold_healthy",8.72491508455614e-10,"total_chl_fw_22","var",1
"72","hot_damaged","hot_healthy",1,"total_chl_fw_22","var",0
"73","hot_healthy","cold_healthy",1.19642800742781e-06,"chlor_a_fw_22","var",1
"74","hot_damaged","cold_healthy",2.3699593469378e-10,"chlor_a_fw_22","var",1
"76","hot_damaged","hot_healthy",1,"chlor_a_fw_22","var",0
"77","hot_healthy","cold_healthy",0.000313337090647574,"chlor_b_fw_22","var",1
"78","hot_damaged","cold_healthy",5.58431400577137e-07,"chlor_b_fw_22","var",1
"80","hot_damaged","hot_healthy",1,"chlor_b_fw_22","var",0
"81","hot_healthy","cold_healthy",4.61895848768872e-06,"chla_chlb_22","var",1
"82","hot_damaged","cold_healthy",4.39629621143719e-08,"chla_chlb_22","var",1
"84","hot_damaged","hot_healthy",1,"chla_chlb_22","var",0
"85","hot_healthy","cold_healthy",0.000499703198449454,"xc_fw_22","var",1
"86","hot_damaged","cold_healthy",9.81447696847443e-07,"xc_fw_22","var",1
"88","hot_damaged","hot_healthy",1,"xc_fw_22","var",0
"89","hot_healthy","cold_healthy",0.000467333209596129,"chl_xc_22","var",1
"90","hot_damaged","cold_healthy",1.31075523619077e-05,"chl_xc_22","var",1
"92","hot_damaged","hot_healthy",1,"chl_xc_22","var",0
"93","hot_healthy","cold_healthy",0.472012213548791,"percent_c","var",0
"94","hot_damaged","cold_healthy",0.00117007329936902,"percent_c","var",1
"96","hot_damaged","hot_healthy",0.253424174202381,"percent_c","var",0
"97","hot_healthy","cold_healthy",0.00363037068222258,"percent_n","var",1
"98","hot_damaged","cold_healthy",1,"percent_n","var",0
"100","hot_damaged","hot_healthy",0.000845418707820218,"percent_n","var",1
"101","hot_healthy","cold_healthy",0.00501140542692,"cn_ratio","var",1
"102","hot_damaged","cold_healthy",1,"cn_ratio","var",0
"104","hot_damaged","hot_healthy",0.00874216321185317,"cn_ratio","var",1
"105","hot_healthy","cold_healthy",2.60152230872282e-08,"leaf_d13c","var",1
"106","hot_damaged","cold_healthy",0.000757686973635843,"leaf_d13c","var",1
"108","hot_damaged","hot_healthy",0.144136856077107,"leaf_d13c","var",0
"109","hot_healthy","cold_healthy",0.0309772036541505,"leaf_d15n","var",1
"110","hot_damaged","cold_healthy",3.69683010446312e-09,"leaf_d15n","var",1
"112","hot_damaged","hot_healthy",1.31885218325639e-13,"leaf_d15n","var",1
"113","hot_healthy","cold_healthy",0.713157463812228,"leaf_d18o","var",0
"114","hot_damaged","cold_healthy",0.00296138176135726,"leaf_d18o","var",1
"116","hot_damaged","hot_healthy",0.0756714122882968,"leaf_d18o","var",0
"117","hot_healthy","cold_healthy",0.0099895545600943,"wood_d13c_17","var",1
"118","hot_damaged","cold_healthy",0.0148875938327959,"wood_d13c_17","var",1
"120","hot_damaged","hot_healthy",1,"wood_d13c_17","var",0
"121","hot_healthy","cold_healthy",0.0247567119966843,"wood_d13c_22","var",1
"122","hot_damaged","cold_healthy",0.00194902560282814,"wood_d13c_22","var",1
"124","hot_damaged","hot_healthy",0.58792329282656,"wood_d13c_22","var",0
"125","hot_healthy","cold_healthy",1.62718678833547e-13,"mean_def_obs","var",1
"126","hot_damaged","cold_healthy",5.65665184065375e-105,"mean_def_obs","var",1
"128","hot_damaged","hot_healthy",9.1880718859515e-86,"mean_def_obs","var",1
