"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"2","Abialba_hot_healthy","Abialba_hot_damaged",0.651728228388808,"height","var",0,"Abialba","Abialba","Yes"
"7","all_hot_healthy","all_hot_damaged",1,"height","var",0,"all","all","Yes"
"12","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"height","var",0,"Pinpine","Pinpine","Yes"
"17","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"height","var",0,"Pinsylv","Pinsylv","Yes"
"19","Abialba_hot_healthy","Abialba_hot_damaged",0.636813643098357,"dbh","var",0,"Abialba","Abialba","Yes"
"24","all_hot_healthy","all_hot_damaged",1,"dbh","var",0,"all","all","Yes"
"29","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"dbh","var",0,"Pinpine","Pinpine","Yes"
"34","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"dbh","var",0,"Pinsylv","Pinsylv","Yes"
"36","Abialba_hot_healthy","Abialba_hot_damaged",0.0401344463469831,"age","var",1,"Abialba","Abialba","Yes"
"41","all_hot_healthy","all_hot_damaged",0.118123805755384,"age","var",0,"all","all","Yes"
"46","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"age","var",0,"Pinpine","Pinpine","Yes"
"51","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"age","var",0,"Pinsylv","Pinsylv","Yes"
"53","Abialba_hot_healthy","Abialba_hot_damaged",1,"hegyi_index","var",0,"Abialba","Abialba","Yes"
"58","all_hot_healthy","all_hot_damaged",1,"hegyi_index","var",0,"all","all","Yes"
"63","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"hegyi_index","var",0,"Pinpine","Pinpine","Yes"
"68","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"hegyi_index","var",0,"Pinsylv","Pinsylv","Yes"
"70","Abialba_hot_healthy","Abialba_hot_damaged",1,"mean_bai","var",0,"Abialba","Abialba","Yes"
"75","all_hot_healthy","all_hot_damaged",0.448245054787019,"mean_bai","var",0,"all","all","Yes"
"80","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"mean_bai","var",0,"Pinpine","Pinpine","Yes"
"85","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"mean_bai","var",0,"Pinsylv","Pinsylv","Yes"
"87","Abialba_hot_healthy","Abialba_hot_damaged",1,"mean_1980","var",0,"Abialba","Abialba","Yes"
"92","all_hot_healthy","all_hot_damaged",0.000582957429702766,"mean_1980","var",1,"all","all","Yes"
"97","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"mean_1980","var",0,"Pinpine","Pinpine","Yes"
"102","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.920061477235416,"mean_1980","var",0,"Pinsylv","Pinsylv","Yes"
