"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"1","Abialba_hotspot","Abialba_coldspot",0.00222515101434947,"height","var",1,"Abialba","Abialba","Yes"
"4","all_hotspot","all_coldspot",2.4974915961897e-08,"height","var",1,"all","all","Yes"
"8","Pinpine_hotspot","Pinpine_coldspot",0.0756944684947003,"height","var",0,"Pinpine","Pinpine","Yes"
"12","Pinsylv_hotspot","Pinsylv_coldspot",0.000209701867113616,"height","var",1,"Pinsylv","Pinsylv","Yes"
"13","Abialba_hotspot","Abialba_coldspot",0.0013184140574931,"dbh","var",1,"Abialba","Abialba","Yes"
"16","all_hotspot","all_coldspot",0.014856476023617,"dbh","var",1,"all","all","Yes"
"20","Pinpine_hotspot","Pinpine_coldspot",1,"dbh","var",0,"Pinpine","Pinpine","Yes"
"24","Pinsylv_hotspot","Pinsylv_coldspot",1,"dbh","var",0,"Pinsylv","Pinsylv","Yes"
"25","Abialba_hotspot","Abialba_coldspot",1,"percent_c","var",0,"Abialba","Abialba","Yes"
"28","all_hotspot","all_coldspot",0.817581676529886,"percent_c","var",0,"all","all","Yes"
"32","Pinpine_hotspot","Pinpine_coldspot",1,"percent_c","var",0,"Pinpine","Pinpine","Yes"
"36","Pinsylv_hotspot","Pinsylv_coldspot",0.000159459492458198,"percent_c","var",1,"Pinsylv","Pinsylv","Yes"
"37","Abialba_hotspot","Abialba_coldspot",1,"percent_n","var",0,"Abialba","Abialba","Yes"
"40","all_hotspot","all_coldspot",1,"percent_n","var",0,"all","all","Yes"
"44","Pinpine_hotspot","Pinpine_coldspot",1,"percent_n","var",0,"Pinpine","Pinpine","Yes"
"48","Pinsylv_hotspot","Pinsylv_coldspot",1,"percent_n","var",0,"Pinsylv","Pinsylv","Yes"
"49","Abialba_hotspot","Abialba_coldspot",1,"cn_ratio","var",0,"Abialba","Abialba","Yes"
"52","all_hotspot","all_coldspot",1,"cn_ratio","var",0,"all","all","Yes"
"56","Pinpine_hotspot","Pinpine_coldspot",0.799289927900985,"cn_ratio","var",0,"Pinpine","Pinpine","Yes"
"60","Pinsylv_hotspot","Pinsylv_coldspot",1,"cn_ratio","var",0,"Pinsylv","Pinsylv","Yes"
"61","Abialba_hotspot","Abialba_coldspot",0.193835652075773,"sla_22","var",0,"Abialba","Abialba","Yes"
"64","all_hotspot","all_coldspot",0.0952595194711286,"sla_22","var",0,"all","all","Yes"
"68","Pinpine_hotspot","Pinpine_coldspot",0.574907940917732,"sla_22","var",0,"Pinpine","Pinpine","Yes"
"72","Pinsylv_hotspot","Pinsylv_coldspot",1,"sla_22","var",0,"Pinsylv","Pinsylv","Yes"
"73","Abialba_hotspot","Abialba_coldspot",1,"age","var",0,"Abialba","Abialba","Yes"
"76","all_hotspot","all_coldspot",2.41633754704669e-06,"age","var",1,"all","all","Yes"
"80","Pinpine_hotspot","Pinpine_coldspot",1,"age","var",0,"Pinpine","Pinpine","Yes"
"84","Pinsylv_hotspot","Pinsylv_coldspot",1.32606193643927e-07,"age","var",1,"Pinsylv","Pinsylv","Yes"
"85","Abialba_hotspot","Abialba_coldspot",1,"hegyi_index","var",0,"Abialba","Abialba","Yes"
"88","all_hotspot","all_coldspot",3.44320952266812e-05,"hegyi_index","var",1,"all","all","Yes"
"92","Pinpine_hotspot","Pinpine_coldspot",1,"hegyi_index","var",0,"Pinpine","Pinpine","Yes"
"96","Pinsylv_hotspot","Pinsylv_coldspot",0.239042369507124,"hegyi_index","var",0,"Pinsylv","Pinsylv","Yes"
"97","Abialba_hotspot","Abialba_coldspot",1,"wc_22","var",0,"Abialba","Abialba","Yes"
"100","all_hotspot","all_coldspot",2.95067136667575e-06,"wc_22","var",1,"all","all","Yes"
"104","Pinpine_hotspot","Pinpine_coldspot",1,"wc_22","var",0,"Pinpine","Pinpine","Yes"
"108","Pinsylv_hotspot","Pinsylv_coldspot",3.98728483497813e-13,"wc_22","var",1,"Pinsylv","Pinsylv","Yes"
"109","Abialba_hotspot","Abialba_coldspot",0.346099829071055,"total_chl_fw_22","var",0,"Abialba","Abialba","Yes"
"112","all_hotspot","all_coldspot",4.91581343035441e-05,"total_chl_fw_22","var",1,"all","all","Yes"
"116","Pinpine_hotspot","Pinpine_coldspot",1,"total_chl_fw_22","var",0,"Pinpine","Pinpine","Yes"
"120","Pinsylv_hotspot","Pinsylv_coldspot",1,"total_chl_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"121","Abialba_hotspot","Abialba_coldspot",0.676317687366445,"chla_chlb_22","var",0,"Abialba","Abialba","Yes"
"124","all_hotspot","all_coldspot",0.000232301855326514,"chla_chlb_22","var",1,"all","all","Yes"
"128","Pinpine_hotspot","Pinpine_coldspot",1,"chla_chlb_22","var",0,"Pinpine","Pinpine","Yes"
"132","Pinsylv_hotspot","Pinsylv_coldspot",0.0358494603537865,"chla_chlb_22","var",1,"Pinsylv","Pinsylv","Yes"
"133","Abialba_hotspot","Abialba_coldspot",1,"xc_fw_22","var",0,"Abialba","Abialba","Yes"
"136","all_hotspot","all_coldspot",0.00402802263424716,"xc_fw_22","var",1,"all","all","Yes"
"140","Pinpine_hotspot","Pinpine_coldspot",1,"xc_fw_22","var",0,"Pinpine","Pinpine","Yes"
"144","Pinsylv_hotspot","Pinsylv_coldspot",0.884976088954504,"xc_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"145","Abialba_hotspot","Abialba_coldspot",0.00131698746714339,"chl_xc_22","var",1,"Abialba","Abialba","Yes"
"148","all_hotspot","all_coldspot",0.010002952502467,"chl_xc_22","var",1,"all","all","Yes"
"152","Pinpine_hotspot","Pinpine_coldspot",1,"chl_xc_22","var",0,"Pinpine","Pinpine","Yes"
"156","Pinsylv_hotspot","Pinsylv_coldspot",1,"chl_xc_22","var",0,"Pinsylv","Pinsylv","Yes"
