"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"1","Abialba_hotspot","Abialba_coldspot",0.000794696790839098,"height","var",1,"Abialba","Abialba","Yes"
"4","all_hotspot","all_coldspot",1.42713805496554e-08,"height","var",1,"all","all","Yes"
"8","Pinpine_hotspot","Pinpine_coldspot",0.0216269909984858,"height","var",1,"Pinpine","Pinpine","Yes"
"12","Pinsylv_hotspot","Pinsylv_coldspot",8.98722287629784e-05,"height","var",1,"Pinsylv","Pinsylv","Yes"
"13","Abialba_hotspot","Abialba_coldspot",0.00080046567776367,"dbh","var",1,"Abialba","Abialba","Yes"
"16","all_hotspot","all_coldspot",0.00742823801180852,"dbh","var",1,"all","all","Yes"
"20","Pinpine_hotspot","Pinpine_coldspot",0.278067857510029,"dbh","var",0,"Pinpine","Pinpine","Yes"
"24","Pinsylv_hotspot","Pinsylv_coldspot",0.614167078333051,"dbh","var",0,"Pinsylv","Pinsylv","Yes"
"25","Abialba_hotspot","Abialba_coldspot",0.533116659528733,"percent_c","var",0,"Abialba","Abialba","Yes"
"28","all_hotspot","all_coldspot",0.37959149267459,"percent_c","var",0,"all","all","Yes"
"32","Pinpine_hotspot","Pinpine_coldspot",1,"percent_c","var",0,"Pinpine","Pinpine","Yes"
"36","Pinsylv_hotspot","Pinsylv_coldspot",0.000130984583090663,"percent_c","var",1,"Pinsylv","Pinsylv","Yes"
"37","Abialba_hotspot","Abialba_coldspot",1,"percent_n","var",0,"Abialba","Abialba","Yes"
"40","all_hotspot","all_coldspot",0.936690288708952,"percent_n","var",0,"all","all","Yes"
"44","Pinpine_hotspot","Pinpine_coldspot",0.345688102304243,"percent_n","var",0,"Pinpine","Pinpine","Yes"
"48","Pinsylv_hotspot","Pinsylv_coldspot",1,"percent_n","var",0,"Pinsylv","Pinsylv","Yes"
"49","Abialba_hotspot","Abialba_coldspot",1,"cn_ratio","var",0,"Abialba","Abialba","Yes"
"52","all_hotspot","all_coldspot",1,"cn_ratio","var",0,"all","all","Yes"
"56","Pinpine_hotspot","Pinpine_coldspot",0.228368550828853,"cn_ratio","var",0,"Pinpine","Pinpine","Yes"
"60","Pinsylv_hotspot","Pinsylv_coldspot",1,"cn_ratio","var",0,"Pinsylv","Pinsylv","Yes"
"61","Abialba_hotspot","Abialba_coldspot",0.152299440916679,"sla_22","var",0,"Abialba","Abialba","Yes"
"64","all_hotspot","all_coldspot",0.0782488909941413,"sla_22","var",0,"all","all","Yes"
"68","Pinpine_hotspot","Pinpine_coldspot",0.390116102765604,"sla_22","var",0,"Pinpine","Pinpine","Yes"
"72","Pinsylv_hotspot","Pinsylv_coldspot",1,"sla_22","var",0,"Pinsylv","Pinsylv","Yes"
"73","Abialba_hotspot","Abialba_coldspot",1,"age","var",0,"Abialba","Abialba","Yes"
"76","all_hotspot","all_coldspot",1.8985509298224e-06,"age","var",1,"all","all","Yes"
"80","Pinpine_hotspot","Pinpine_coldspot",1,"age","var",0,"Pinpine","Pinpine","Yes"
"84","Pinsylv_hotspot","Pinsylv_coldspot",1.23134322669361e-07,"age","var",1,"Pinsylv","Pinsylv","Yes"
"85","Abialba_hotspot","Abialba_coldspot",0.88953036852468,"hegyi_index","var",0,"Abialba","Abialba","Yes"
"88","all_hotspot","all_coldspot",2.45943537333437e-05,"hegyi_index","var",1,"all","all","Yes"
"92","Pinpine_hotspot","Pinpine_coldspot",0.88953036852468,"hegyi_index","var",0,"Pinpine","Pinpine","Yes"
"96","Pinsylv_hotspot","Pinsylv_coldspot",0.110983957271165,"hegyi_index","var",0,"Pinsylv","Pinsylv","Yes"
"97","Abialba_hotspot","Abialba_coldspot",0.353522929657112,"wc_22","var",0,"Abialba","Abialba","Yes"
"100","all_hotspot","all_coldspot",1.89686016429155e-06,"wc_22","var",1,"all","all","Yes"
"104","Pinpine_hotspot","Pinpine_coldspot",1,"wc_22","var",0,"Pinpine","Pinpine","Yes"
"108","Pinsylv_hotspot","Pinsylv_coldspot",3.41767271569554e-13,"wc_22","var",1,"Pinsylv","Pinsylv","Yes"
"109","Abialba_hotspot","Abialba_coldspot",0.0718318892206284,"total_chl_fw_22","var",0,"Abialba","Abialba","Yes"
"112","all_hotspot","all_coldspot",1.755647653698e-05,"total_chl_fw_22","var",1,"all","all","Yes"
"116","Pinpine_hotspot","Pinpine_coldspot",0.743983310907463,"total_chl_fw_22","var",0,"Pinpine","Pinpine","Yes"
"120","Pinsylv_hotspot","Pinsylv_coldspot",0.191185837457393,"total_chl_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"121","Abialba_hotspot","Abialba_coldspot",0.362313046803452,"chla_chlb_22","var",0,"Abialba","Abialba","Yes"
"124","all_hotspot","all_coldspot",0.000199115875994155,"chla_chlb_22","var",1,"all","all","Yes"
"128","Pinpine_hotspot","Pinpine_coldspot",1,"chla_chlb_22","var",0,"Pinpine","Pinpine","Yes"
"132","Pinsylv_hotspot","Pinsylv_coldspot",0.0243264195257837,"chla_chlb_22","var",1,"Pinsylv","Pinsylv","Yes"
"133","Abialba_hotspot","Abialba_coldspot",1,"xc_fw_22","var",0,"Abialba","Abialba","Yes"
"136","all_hotspot","all_coldspot",0.00100700565856179,"xc_fw_22","var",1,"all","all","Yes"
"140","Pinpine_hotspot","Pinpine_coldspot",0.998111286673049,"xc_fw_22","var",0,"Pinpine","Pinpine","Yes"
"144","Pinsylv_hotspot","Pinsylv_coldspot",0.189637733347394,"xc_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
