"","Group1","Group2","P_value_adjusted","Variable","Tipo","significant","grupo1","grupo2","match"
"2","Abialba_hot_healthy","Abialba_hot_damaged",0.217242742796269,"height","var",0,"Abialba","Abialba","Yes"
"7","all_hot_healthy","all_hot_damaged",1,"height","var",0,"all","all","Yes"
"12","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"height","var",0,"Pinpine","Pinpine","Yes"
"17","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"height","var",0,"Pinsylv","Pinsylv","Yes"
"19","Abialba_hot_healthy","Abialba_hot_damaged",0.347352896235467,"dbh","var",0,"Abialba","Abialba","Yes"
"24","all_hot_healthy","all_hot_damaged",1,"dbh","var",0,"all","all","Yes"
"29","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"dbh","var",0,"Pinpine","Pinpine","Yes"
"34","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"dbh","var",0,"Pinsylv","Pinsylv","Yes"
"36","Abialba_hot_healthy","Abialba_hot_damaged",1,"percent_c","var",0,"Abialba","Abialba","Yes"
"41","all_hot_healthy","all_hot_damaged",1,"percent_c","var",0,"all","all","Yes"
"46","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"percent_c","var",0,"Pinpine","Pinpine","Yes"
"51","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"percent_c","var",0,"Pinsylv","Pinsylv","Yes"
"53","Abialba_hot_healthy","Abialba_hot_damaged",1,"percent_n","var",0,"Abialba","Abialba","Yes"
"58","all_hot_healthy","all_hot_damaged",0.237463747255522,"percent_n","var",0,"all","all","Yes"
"63","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"percent_n","var",0,"Pinpine","Pinpine","Yes"
"68","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"percent_n","var",0,"Pinsylv","Pinsylv","Yes"
"70","Abialba_hot_healthy","Abialba_hot_damaged",1,"cn_ratio","var",0,"Abialba","Abialba","Yes"
"75","all_hot_healthy","all_hot_damaged",0.781811605384486,"cn_ratio","var",0,"all","all","Yes"
"80","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"cn_ratio","var",0,"Pinpine","Pinpine","Yes"
"85","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"cn_ratio","var",0,"Pinsylv","Pinsylv","Yes"
"87","Abialba_hot_healthy","Abialba_hot_damaged",1,"sla_22","var",0,"Abialba","Abialba","Yes"
"92","all_hot_healthy","all_hot_damaged",1,"sla_22","var",0,"all","all","Yes"
"97","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"sla_22","var",0,"Pinpine","Pinpine","Yes"
"102","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"sla_22","var",0,"Pinsylv","Pinsylv","Yes"
"104","Abialba_hot_healthy","Abialba_hot_damaged",0.0255401022208074,"age","var",1,"Abialba","Abialba","Yes"
"109","all_hot_healthy","all_hot_damaged",0.0680106760409789,"age","var",0,"all","all","Yes"
"114","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"age","var",0,"Pinpine","Pinpine","Yes"
"119","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"age","var",0,"Pinsylv","Pinsylv","Yes"
"121","Abialba_hot_healthy","Abialba_hot_damaged",1,"hegyi_index","var",0,"Abialba","Abialba","Yes"
"126","all_hot_healthy","all_hot_damaged",0.594237306894647,"hegyi_index","var",0,"all","all","Yes"
"131","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"hegyi_index","var",0,"Pinpine","Pinpine","Yes"
"136","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"hegyi_index","var",0,"Pinsylv","Pinsylv","Yes"
"138","Abialba_hot_healthy","Abialba_hot_damaged",1,"wc_22","var",0,"Abialba","Abialba","Yes"
"143","all_hot_healthy","all_hot_damaged",0.393925991891,"wc_22","var",0,"all","all","Yes"
"148","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"wc_22","var",0,"Pinpine","Pinpine","Yes"
"153","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.709029909584326,"wc_22","var",0,"Pinsylv","Pinsylv","Yes"
"155","Abialba_hot_healthy","Abialba_hot_damaged",1,"total_chl_fw_22","var",0,"Abialba","Abialba","Yes"
"160","all_hot_healthy","all_hot_damaged",1,"total_chl_fw_22","var",0,"all","all","Yes"
"165","Pinpine_hot_healthy","Pinpine_hot_damaged",0.0614585503231964,"total_chl_fw_22","var",0,"Pinpine","Pinpine","Yes"
"170","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.0143780963157013,"total_chl_fw_22","var",1,"Pinsylv","Pinsylv","Yes"
"172","Abialba_hot_healthy","Abialba_hot_damaged",1,"chla_chlb_22","var",0,"Abialba","Abialba","Yes"
"177","all_hot_healthy","all_hot_damaged",1,"chla_chlb_22","var",0,"all","all","Yes"
"182","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"chla_chlb_22","var",0,"Pinpine","Pinpine","Yes"
"187","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"chla_chlb_22","var",0,"Pinsylv","Pinsylv","Yes"
"189","Abialba_hot_healthy","Abialba_hot_damaged",1,"xc_fw_22","var",0,"Abialba","Abialba","Yes"
"194","all_hot_healthy","all_hot_damaged",1,"xc_fw_22","var",0,"all","all","Yes"
"199","Pinpine_hot_healthy","Pinpine_hot_damaged",0.836013657350861,"xc_fw_22","var",0,"Pinpine","Pinpine","Yes"
"204","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.669605657448462,"xc_fw_22","var",0,"Pinsylv","Pinsylv","Yes"
"206","Abialba_hot_healthy","Abialba_hot_damaged",1,"chl_xc_22","var",0,"Abialba","Abialba","Yes"
"211","all_hot_healthy","all_hot_damaged",1,"chl_xc_22","var",0,"all","all","Yes"
"216","Pinpine_hot_healthy","Pinpine_hot_damaged",0.0205387253945521,"chl_xc_22","var",1,"Pinpine","Pinpine","Yes"
"221","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.00632305899936993,"chl_xc_22","var",1,"Pinsylv","Pinsylv","Yes"
"223","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d13c","var",0,"Abialba","Abialba","Yes"
"228","all_hot_healthy","all_hot_damaged",1,"leaf_d13c","var",0,"all","all","Yes"
"233","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d13c","var",0,"Pinpine","Pinpine","Yes"
"238","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d13c","var",0,"Pinsylv","Pinsylv","Yes"
"240","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d15n","var",0,"Abialba","Abialba","Yes"
"245","all_hot_healthy","all_hot_damaged",5.63345762665592e-06,"leaf_d15n","var",1,"all","all","Yes"
"250","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d15n","var",0,"Pinpine","Pinpine","Yes"
"255","Pinsylv_hot_healthy","Pinsylv_hot_damaged",0.217172998252471,"leaf_d15n","var",0,"Pinsylv","Pinsylv","Yes"
"257","Abialba_hot_healthy","Abialba_hot_damaged",1,"leaf_d18o","var",0,"Abialba","Abialba","Yes"
"262","all_hot_healthy","all_hot_damaged",1,"leaf_d18o","var",0,"all","all","Yes"
"267","Pinpine_hot_healthy","Pinpine_hot_damaged",1,"leaf_d18o","var",0,"Pinpine","Pinpine","Yes"
"272","Pinsylv_hot_healthy","Pinsylv_hot_damaged",1,"leaf_d18o","var",0,"Pinsylv","Pinsylv","Yes"
