"","variable","Abialba_coldspot","Abialba_hotspot","Pinpine_coldspot","Pinpine_hotspot","Pinsylv_coldspot","Pinsylv_hotspot","all_coldspot","all_hotspot"
"1","height","29.79 ± 0.61 [22.40, 37.41]","25.68 ± 0.68 [16.04, 35.42]","16.02 ± 0.63 [12.43, 21.55]","12.94 ± 0.45 [5.82, 18.64]","17.25 ± 0.43 [10.40, 28.82]","14.65 ± 0.20 [10.61, 19.74]","20.58 ± 0.52 [10.60, 35.61]","16.54 ± 0.36 [8.12, 30.94]"
"2","dbh","60.84 ± 1.95 [38.60, 93.21]","47.83 ± 1.90 [24.93, 73.38]","51.72 ± 1.95 [40.37, 71.91]","46.76 ± 1.12 [30.54, 66.42]","41.32 ± 0.82 [28.20, 65.39]","39.39 ± 0.72 [25.16, 57.26]","47.99 ± 0.99 [28.32, 83.44]","42.96 ± 0.66 [25.35, 65.45]"
"3","percent_c","47.92 ± 0.15 [45.85, 49.94]","47.47 ± 0.18 [44.26, 49.88]","47.20 ± 0.58 [40.67, 49.50]","47.49 ± 0.22 [41.40, 49.53]","48.37 ± 0.21 [44.01, 52.26]","49.53 ± 0.16 [45.96, 52.55]","48.12 ± 0.15 [43.96, 51.67]","48.60 ± 0.13 [44.35, 52.41]"
"4","percent_n","1.17 ± 0.02 [0.86, 1.46]","1.16 ± 0.02 [0.91, 1.46]","0.94 ± 0.04 [0.80, 1.39]","0.98 ± 0.02 [0.78, 1.39]","1.68 ± 0.07 [0.89, 3.21]","1.53 ± 0.04 [0.98, 2.65]","1.45 ± 0.05 [0.83, 3.20]","1.32 ± 0.03 [0.83, 2.63]"
"5","cn_ratio","41.73 ± 0.79 [33.18, 55.37]","41.49 ± 0.74 [33.01, 51.11]","51.60 ± 1.95 [29.39, 58.77]","49.36 ± 0.88 [29.79, 60.72]","34.28 ± 1.15 [13.19, 52.65]","35.53 ± 0.83 [17.81, 52.03]","38.23 ± 0.85 [14.44, 57.06]","40.16 ± 0.63 [18.21, 57.64]"
"6","sla_22","55.76 ± 2.47 [30.06, 98.14]","44.70 ± 1.06 [34.08, 69.29]","44.86 ± 0.86 [39.51, 51.79]","42.21 ± 0.51 [34.70, 49.29]","46.95 ± 1.13 [30.31, 70.03]","45.88 ± 0.93 [28.64, 62.56]","49.45 ± 1.06 [30.16, 83.05]","44.72 ± 0.57 [30.53, 62.58]"
"7","age","87.74 ± 5.79 [31.02, 176.62]","83.26 ± 3.42 [50.75, 129.20]","126.45 ± 5.00 [89.75, 162.05]","120.73 ± 4.18 [58.00, 173.85]","90.54 ± 3.01 [37.80, 157.50]","123.42 ± 3.51 [50.55, 204.35]","93.89 ± 2.59 [35.45, 162.55]","116.03 ± 2.53 [50.85, 195.45]"
"8","hegyi_index","15.41 ± 1.94 [3.14, 45.73]","15.64 ± 1.24 [5.29, 32.57]","25.17 ± 3.20 [7.58, 54.94]","30.03 ± 1.76 [8.19, 58.68]","12.30 ± 0.45 [4.72, 23.28]","14.98 ± 0.65 [4.22, 33.15]","14.41 ± 0.74 [3.62, 45.27]","18.93 ± 0.74 [4.26, 51.44]"
"9","wc_22","50.47 ± 0.55 [44.84, 59.25]","49.32 ± 0.76 [41.80, 65.62]","54.18 ± 0.89 [45.71, 59.22]","54.57 ± 0.23 [51.31, 58.70]","56.24 ± 0.37 [50.48, 62.32]","52.85 ± 0.31 [43.57, 59.16]","54.36 ± 0.34 [45.82, 61.19]","52.51 ± 0.27 [42.70, 59.17]"
"10","total_chl_fw_22","1538.08 ± 47.71 [840.24, 2336.47]","1371.47 ± 43.77 [809.82, 1969.02]","634.98 ± 31.34 [359.97, 818.50]","669.83 ± 20.16 [352.78, 940.36]","1184.54 ± 32.01 [685.77, 1906.11]","1103.20 ± 22.93 [690.66, 1737.97]","1232.59 ± 30.11 [495.64, 2081.53]","1052.00 ± 22.10 [483.88, 1865.34]"
