"","variable","Abialba_hot_damaged","Abialba_hot_healthy","Pinpine_hot_damaged","Pinpine_hot_healthy","Pinsylv_hot_damaged","Pinsylv_hot_healthy","all_hot_damaged","all_hot_healthy"
"1","height","27.58 ± 0.94 [18.49, 36.09]","23.98 ± 0.87 [15.72, 31.98]","12.80 ± 0.66 [7.46, 18.01]","13.01 ± 0.60 [5.10, 18.60]","14.58 ± 0.22 [10.70, 19.16]","14.83 ± 0.42 [10.54, 20.29]","16.56 ± 0.49 [9.18, 31.59]","16.52 ± 0.55 [6.94, 28.94]"
"2","dbh","52.34 ± 2.43 [27.34, 70.05]","43.64 ± 2.70 [23.46, 76.14]","47.96 ± 1.87 [31.84, 66.58]","46.05 ± 1.40 [30.90, 59.80]","38.81 ± 0.76 [25.14, 54.11]","40.75 ± 1.59 [25.71, 59.56]","42.62 ± 0.85 [25.73, 65.05]","43.41 ± 1.06 [25.24, 63.14]"
"3","percent_c","47.35 ± 0.30 [43.74, 49.74]","47.58 ± 0.21 [45.63, 49.67]","47.44 ± 0.33 [44.12, 49.51]","47.51 ± 0.29 [41.43, 48.94]","49.38 ± 0.22 [45.74, 52.65]","49.87 ± 0.19 [47.20, 52.15]","48.73 ± 0.18 [43.81, 52.51]","48.43 ± 0.17 [44.85, 51.83]"
"4","percent_n","1.14 ± 0.03 [0.95, 1.43]","1.18 ± 0.03 [0.87, 1.47]","0.96 ± 0.03 [0.81, 1.25]","0.99 ± 0.02 [0.78, 1.39]","1.57 ± 0.05 [0.98, 2.66]","1.44 ± 0.07 [1.07, 1.91]","1.40 ± 0.04 [0.85, 2.63]","1.21 ± 0.04 [0.81, 1.79]"
"5","cn_ratio","41.89 ± 0.90 [33.28, 49.28]","41.14 ± 1.17 [32.72, 55.23]","50.34 ± 1.38 [36.43, 59.12]","48.81 ± 1.14 [29.85, 60.50]","34.99 ± 1.07 [17.80, 52.42]","36.79 ± 1.19 [24.16, 47.71]","38.56 ± 0.89 [17.97, 57.16]","42.27 ± 0.84 [27.60, 59.00]"
"6","sla_22","42.89 ± 0.90 [35.16, 52.21]","46.32 ± 1.80 [35.61, 70.82]","41.36 ± 0.93 [34.29, 47.57]","42.71 ± 0.59 [36.21, 49.77]","46.87 ± 1.07 [29.48, 62.54]","42.98 ± 1.77 [27.65, 59.83]","45.31 ± 0.77 [30.88, 62.23]","43.86 ± 0.83 [29.98, 65.85]"
"7","age","96.62 ± 5.03 [71.88, 131.50]","73.96 ± 3.57 [48.75, 108.95]","123.78 ± 5.25 [72.30, 158.15]","119.02 ± 5.85 [58.00, 175.00]","128.30 ± 4.12 [79.25, 205.25]","112.61 ± 6.40 [44.00, 174.00]","123.60 ± 3.21 [75.00, 199.55]","106.65 ± 3.85 [47.80, 174.40]"
"8","hegyi_index","17.15 ± 2.08 [5.64, 40.18]","14.13 ± 1.33 [5.58, 29.20]","33.25 ± 3.11 [9.20, 64.17]","28.15 ± 2.09 [11.12, 57.63]","14.06 ± 0.71 [4.26, 31.27]","17.08 ± 1.33 [4.33, 34.74]","17.72 ± 0.96 [4.28, 51.20]","20.56 ± 1.14 [4.57, 50.33]"
"9","wc_22","48.26 ± 0.64 [41.21, 51.89]","50.27 ± 1.31 [42.77, 72.26]","54.35 ± 0.45 [51.33, 58.91]","54.69 ± 0.26 [51.42, 57.33]","52.33 ± 0.39 [43.01, 58.34]","54.07 ± 0.46 [49.57, 60.94]","51.91 ± 0.33 [42.37, 58.45]","53.30 ± 0.43 [45.21, 61.25]"
"10","total_chl_fw_22","1397.29 ± 72.50 [700.97, 1972.68]","1348.32 ± 52.54 [838.60, 1903.82]","595.86 ± 35.88 [311.77, 913.94]","713.12 ± 21.70 [501.36, 937.52]","1047.82 ± 24.06 [660.64, 1441.20]","1230.70 ± 46.52 [825.35, 2078.51]","1036.00 ± 28.41 [459.43, 1858.67]","1073.09 ± 35.00 [511.72, 1892.31]"
"11","chla_chlb_22","2.06 ± 0.05 [1.64, 2.49]","2.03 ± 0.05 [1.66, 2.57]","2.03 ± 0.05 [1.62, 2.43]","2.11 ± 0.03 [1.71, 2.41]","2.16 ± 0.03 [1.59, 2.52]","2.26 ± 0.03 [1.91, 2.57]","2.12 ± 0.02 [1.59, 2.51]","2.15 ± 0.02 [1.66, 2.57]"
"12","xc_fw_22","53.78 ± 1.80 [35.58, 68.30]","53.49 ± 1.40 [40.74, 66.55]","26.00 ± 1.19 [14.51, 35.91]","28.48 ± 0.70 [20.79, 35.01]","36.71 ± 0.64 [25.34, 49.79]","39.61 ± 1.16 [29.47, 59.32]","37.96 ± 0.88 [22.14, 62.58]","39.14 ± 1.11 [22.22, 64.04]"
"13","chl_xc_22","25.65 ± 0.77 [18.54, 30.91]","25.20 ± 0.71 [18.02, 31.63]","22.63 ± 0.53 [18.77, 28.32]","25.01 ± 0.43 [21.49, 32.12]","28.49 ± 0.38 [21.95, 36.81]","30.88 ± 0.47 [25.41, 35.19]","27.05 ± 0.35 [19.82, 36.39]","27.29 ± 0.40 [20.52, 34.75]"
"14","leaf_d13c","-28.78 ± 0.22 [-30.66, -26.87]","-28.31 ± 0.23 [-30.62, -25.74]","-24.92 ± 0.27 [-26.71, -22.21]","-25.33 ± 0.20 [-27.21, -22.63]","-26.87 ± 0.16 [-30.41, -24.47]","-26.42 ± 0.16 [-28.37, -24.83]","-26.90 ± 0.15 [-30.55, -23.79]","-26.51 ± 0.15 [-29.71, -23.15]"
"15","leaf_d15n","-3.29 ± 0.22 [-4.91, -1.08]","-3.00 ± 0.22 [-5.08, -0.26]","-4.29 ± 0.38 [-7.63, -1.85]","-3.73 ± 0.23 [-6.88, -1.03]","-6.45 ± 0.17 [-9.65, -3.42]","-5.50 ± 0.30 [-8.97, -2.55]","-5.57 ± 0.17 [-9.34, -1.91]","-4.22 ± 0.18 [-8.33, -0.72]"
"16","leaf_d18o","28.86 ± 0.29 [26.48, 31.71]","28.56 ± 0.26 [26.37, 30.94]","28.72 ± 0.29 [26.64, 31.59]","28.87 ± 0.14 [27.48, 30.73]","28.59 ± 0.23 [24.62, 33.00]","29.10 ± 0.36 [22.75, 32.41]","28.66 ± 0.17 [24.97, 32.85]","28.88 ± 0.16 [25.56, 32.00]"
"17","mean_1980","1104.62 ± 208.33 [318.25, 3062.05]","897.24 ± 75.55 [351.97, 1543.40]","876.90 ± 96.08 [275.53, 1808.79]","880.89 ± 51.65 [435.17, 1665.76]","490.20 ± 25.45 [162.31, 1131.00]","741.02 ± 81.16 [161.82, 1815.06]","634.24 ± 40.25 [163.26, 1737.80]","829.85 ± 41.27 [206.06, 1754.65]"
