"","variable","estimate_cold","estimate_hot","std_error_cold","std_error_hot","df_cold","df_hot","t_val_cold","t_val_hot","p_val_cold","p_val_hot","ci_lower_cold","ci_upper_cold","ci_lower_hot","ci_upper_hot"
"1","height",15.7138363194925,15.831325498008,1.32798327119519,0.591756233781379,7.72611481055202,261.103065976565,11.8328571303086,0.198543203786274,3.18046967009324e-06,0.842774589568205,12.6393664023445,18.7883062366406,12.7727925543838,18.8898584416322
"2","dbh",39.8143825197297,39.1183166760414,1.95288363512533,1.70999094984766,10.5360159493834,107.796160804826,20.387483311147,-0.407058203290655,8.30986960110695e-10,0.684772393249622,35.4067277534827,44.2220372859767,34.8944349033342,43.3421984487487
"3","hegyi_index",10.2991867720898,15.2943881804752,1.33521139949059,1.2925611581663,9.43799179806033,64.0637589136047,7.71352519609935,3.86457644717709,2.25917281590461e-05,0.000262282548307422,7.27571351752359,13.3226600266559,12.4429413076285,18.1458350533219
"4","wc_22",55.6974185862174,53.0285861293492,0.742417331329045,0.784355238961288,9.42879127509876,38.4377459252882,75.0217111533619,-3.4025812849831,2.05738549821213e-14,0.0015719207544006,54.004733412102,57.3901037603327,51.470908814766,54.5862634439325
"5","percent_c",48.6989616398667,49.2723521602205,0.6232252583689,0.405972624469477,9.02326077483815,207.171308653634,78.1402245591284,1.41238715566875,4.36480050956902e-14,0.159336394345399,47.2812321280464,50.116691151687,47.8795845239084,50.6651197965326
"6","percent_n",1.67997896639915,1.52143035417696,0.232715128669634,0.0781878123155747,7.55325117755366,257.96928573912,7.21903632137329,-2.02779189654612,0.000120672891837628,0.0436093337782385,1.13688120244605,2.22307673035225,0.979742812294709,2.06311789605921
"7","cn",32.9188891064983,37.2581910573613,3.95168775252362,1.38001146429479,7.60134279744076,257.998788508924,8.33033659743882,3.14439558158345,4.39651415543824e-05,0.0018590483141216,23.7055764530322,42.1322017599644,28.0713658435965,46.4450162711262
"8","sla_22",44.6551265450597,46.6718327334579,3.86065516467768,2.24983260815303,8.551872839316,214.126217061411,11.566722393034,0.896380548975069,1.6294104562414e-06,0.371056188163608,35.8286987916696,53.4815542984497,37.9575250173742,55.3861404495416
"9","age",82.5850602377767,133.678816949059,12.24050556766,7.15355610680043,8.49621310283702,221.939243312181,6.74686676798468,7.14242761900061,0.000110095907914251,1.29818584251516e-11,54.5849089927588,110.585211482795,106.032565813799,161.325068084318
"10","chlor_a_fw_22",888.003086421796,656.788605542179,62.1782384428385,43.9767886333183,9.1104606343975,182.394817919725,14.2815735643291,-5.25764813814626,1.52044127488211e-07,4.05348043982349e-07,747.059305104171,1028.94686773942,519.083839713211,794.493371371146
"11","chlor_b_fw_22",375.998043452681,312.46969598522,22.2618452082755,17.1505951416694,9.61114111858091,152.362283918135,16.8897968670139,-3.70414827839478,1.81963414919739e-08,0.000296094914800564,325.699111842571,426.296975062791,263.687099327002,361.252292643439
"12","total_chl_fw_22",1264.69882047065,968.681108890059,83.7939335439397,59.7383392932688,9.16505407572503,179.849767591499,15.09296397701,-4.95523837928228,8.77074084829082e-08,1.65970176860468e-06,1074.82137228767,1454.57626865363,783.278557444202,1154.08366033592
"13","xc_fw_22",42.2322505492899,34.8799307677706,2.23836923053421,1.80614107371771,9.48901552915249,131.955743915102,18.8674191787432,-4.07073394681485,7.64873729014816e-09,8.02839074146422e-05,37.1811675566624,47.2833335419174,30.0052493829494,39.7546121525917
"14","chla_chlb_22",2.31415242787186,2.15159234404061,0.0510847571689376,0.0515349068424778,11.1177316510993,56.7805662841913,45.3002530719475,-3.15436844250313,5.7505647221847e-14,0.00257145190221313,2.19820799576857,2.43009685997515,2.04374119808917,2.25944348999205
"15","chl_xc_22",29.494740828854,28.2593560587383,0.995428758480097,0.753619632621246,10.0050374619979,162.07239031209,29.630187572528,-1.6392682948276,4.43897262297286e-11,0.103097064230711,27.2443394725701,31.7451421851378,26.0731368697332,30.4455752477434
"16","leaf_d13c",-26.758315152786,-26.7386552367902,0.517768175463849,0.232774970885479,7.97396212412724,254.233831258486,-51.6801078567918,0.0844588914396384,2.32198486605195e-11,0.932758054171632,-27.9558994701044,-25.5607308354677,-27.9293318380448,-25.5479786355355
"17","leaf_d15n",-4.80762656814699,-6.40880289399798,0.502790334634197,0.408034206013467,10.1679702517697,133.689682927897,-9.56189138290567,-3.92412278738744,2.11085924560017e-06,0.00013862757621349,-5.94154650107808,-3.67370663521589,-7.50266009386645,-5.31494569412951
"18","leaf_d18o_corrected",18.6363981639437,18.9317569461163,0.59249840502193,0.387653890775867,9.08483917422383,205.176019989913,31.4539212358789,0.76191362759552,1.38481539058792e-10,0.44698648151767,17.2889380495105,19.9838582783768,17.608288454868,20.2552254373645
"19","mean_1980",1170.93285202131,404.933124212726,140.863840499796,107.873340082948,9.62909430078242,151.765033391265,8.3125154607936,-7.10091786552248,1.0682711843567e-05,4.47037897734452e-11,852.463628381324,1489.40207566131,95.8757511572389,713.990497268213
"20","mean_05",997.147500272194,401.694257682,122.399098110322,103.884881475531,10.3597873893708,114.438293316581,8.14668993208951,-5.73185659099438,8.0443139694961e-06,8.19602940652165e-08,720.950197061554,1273.34480348283,136.70391348671,666.684601877291
"21","Rt12",0.781924259903396,0.718656448093498,0.0855924530029275,0.0546349569329754,8.53612699139775,202.593117285079,9.13543463787224,-1.15800973152615,1.08117041697009e-05,0.248223391326123,0.586926182691809,0.976922337114982,0.526871320242799,0.910441575944198
"22","Rt17",0.999847551670967,0.885899781655115,0.086380856198642,0.0633135210534159,8.81899302353959,161.672329344041,11.5748742912632,-1.79973832002989,1.24674353414248e-06,0.073766640210071,0.804223054325017,1.19547204901692,0.695267038164405,1.07653252514582
"23","Rt22",0.93731288798673,0.924776075011972,0.0575237070739673,0.0571657695256169,10.4522276742919,58.6424704359246,16.2943755829484,-0.219306292538236,9.10657182888793e-09,0.827173008327645,0.806807575372418,1.06781820060104,0.802875481103481,1.04667666892046
"24","Rs12",0.821375875960049,0.792759759858041,0.080579737616477,0.0581711282069104,7.95900428663235,161.717014673523,10.1933302373039,-0.491929879720094,7.63586862290703e-06,0.623436004107265,0.638802438630695,1.0039493132894,0.614614363728624,0.970905155987458
"25","Rs17",1.31918228453517,1.25867314117999,0.163005151149141,0.0951666529962843,8.3068760510347,213.733267614948,8.09288709734201,-0.635822963717546,3.23462708225496e-05,0.525572035740179,0.946241589994969,1.69212297907536,0.890402311077317,1.62694397128266
