"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",12.4781055378072,13.2073643138872,2.50293232899178,0.697265282779434,1.02096606910589,62.0781850677893,4.98539468817104,1.04588424820615,0.122289452113149,0.299669912399356,-17.8231022994567,42.779313375071,-14.8723391490581,41.2870677768325
"2","dbh",45.7038528516057,48.2243895015586,2.3101759887493,2.30324157810866,1.31367780979803,62.838666012245,19.783710450713,1.0943431526721,0.0137946381064504,0.277981606109997,28.5721883260434,62.835517377168,37.3489768914602,59.0998021116571
"3","hegyi_index",28.5754958332203,32.9288906033705,3.25945618749303,3.61265127181694,1.40324843992731,62.9480081166692,8.76695196667111,1.20504151732329,0.0340322743029654,0.232698083965125,6.74100631622971,50.4099853502109,19.1672173732629,46.6905638334781
"4","wc_22",54.7190156411438,54.3214649927506,0.37463854136512,0.487405747061836,1.57572283475879,58.9916344935566,146.058158997088,-0.815646206040237,0.000303808250683466,0.417983688160502,52.5831285859608,56.8549026963269,52.946172679732,55.6967573057693
"5","percent_c",47.3331933424409,47.5471675729427,0.879340940602638,0.403997057193596,1.0558964455421,61.1679932453659,53.8280331972284,0.529643042422783,0.00957630621519104,0.59827664259291,37.4629253044301,57.2034613804517,39.4537899341164,55.6405452117691
"6","percent_n",1.0062334315981,0.95130212107122,0.0582738628117469,0.0345221893446407,1.09501315004685,61.2763055174768,17.2673199106214,-1.59118849556406,0.0286925465594453,0.116713496810666,0.401207383167776,1.61125948002842,0.500082313820939,1.4025219283215
"7","cn",48.1147536184679,50.7518295760067,3.38831191086103,1.65502706902605,1.06345560926964,61.1895134869801,14.200213818639,1.5933733090485,0.0383309820161482,0.116229510667938,10.6709321731117,85.558575063824,20.6784128648716,80.8252462871419
"8","sla_22",42.3766121841928,41.8049567917087,2.53180123685097,0.81796767932497,1.02864394533519,56.0642366570369,16.7377326337436,-0.698872836828718,0.0352456721615517,0.487520697520076,12.2478972037606,72.505327164625,14.5825287539814,69.027384829436
"9","age",116.350701134417,125.371322514331,13.6730388862641,8.20990907101608,1.09775489866273,61.2836152188828,8.50949829823877,1.09874802532958,0.0616883556688083,0.276175920484029,-24.8698311569692,257.571233425803,20.6380277741774,230.104617254485
"10","chlor_a_fw_22",482.400396165105,400.75310154226,17.1962682364752,28.2999239412643,63.0000000004424,63.0000000000297,28.0526210414584,-2.88507116811699,2.63074931230432e-37,0.00535135089261644,407.224086604651,557.576705725559,344.92345484571,456.58274823881
"11","chlor_b_fw_22",230.719729121729,195.111211181867,7.23059369979741,11.8993986916545,63.0000000009941,63.0000000012599,31.9088222490213,-2.99246364144735,1.33260171678169e-40,0.00394817283411202,199.110001778161,262.329456465297,171.636263820338,218.586158543396
"12","total_chl_fw_22",713.120125286834,595.864312724127,23.9590986516526,39.4295239071009,62.9999999984597,62.9999999983941,29.7640631500821,-2.97380746566892,8.16171722918736e-39,0.00416435857594567,608.37899237024,817.861258203429,518.078365535173,673.650259913081
"13","xc_fw_22",28.354618102105,26.0941034433367,1.07942509759752,1.28478714788893,1.47975784181155,62.9939541672428,26.2682590623601,-1.75944681769478,0.00592261683987087,0.0833571465496831,21.6445809868234,35.0646552173867,21.8356557464042,30.3525511402693
"14","chla_chlb_22",2.10527051026905,2.02567861053068,0.0355870609451473,0.0585656785641791,62.9999999985065,62.9999999983904,59.1583135655413,-1.35901950920201,6.34538553048289e-57,0.178985907683627,1.94969583132304,2.26084518921506,1.91014115715915,2.14121606390222
"15","chl_xc_22",25.1215612862869,22.5467742857708,0.725813067468853,0.683938493700972,1.27521851920255,62.7737731549593,34.6116133922664,-3.7646470029538,0.00748391089762166,0.0003697329750461,19.4680161625761,30.7751064099977,18.9185885371268,26.1749600344148
"16","leaf_d13c",-25.44184564334,-24.8522842035374,0.557932966536472,0.310150762251549,1.0831006853643,61.2441392750772,-45.6001834795271,1.9008866382357,0.0103497145771507,0.0620252987902884,-31.36954652108,-19.5141447656,-29.3884834609797,-20.3160849460952
"17","leaf_d15n",-3.54765721150998,-4.39190603270528,0.862470339496945,0.366223001152978,1.04751168871547,61.1438044455974,-4.11336720701518,-2.30528617409981,0.143086074288761,0.0245585196201376,-13.4004954917316,6.3051810687116,-12.6711668237803,3.8873547583697
"18","leaf_d18o_corrected",20.3389470694389,20.1358647497436,0.168474678031157,0.281035190184968,61.9999999983159,61.9999999984347,120.724059586436,-0.722622386049476,2.75841342367248e-75,0.472628997403536,19.5861520750545,21.0917420638233,19.5913685597271,20.6803609397601
"19","mean_1980",880.88656097561,876.895434782609,59.6518141058023,99.5061045257033,61.999999999898,62.00000000053,14.767137834454,-0.0401093602450324,5.69346436820982e-22,0.968134820111038,614.34450498491,1147.42861696631,684.105717729838,1069.68515183538
"20","mean_05",879.454853658536,706.220782608696,63.3085654760502,105.605987480261,62.0000000010245,62.0000000008037,13.8915618612656,-1.64038114867513,1.05932121835832e-20,0.10599021393048,596.57334440755,1162.33636290952,501.612748333384,910.828816884007
"21","Rt12",0.665219687857289,0.628644918293818,0.0937321258228891,0.0410765257652273,1.05070471138545,61.1530492358515,7.09702977519416,-0.890405624188226,0.0814899922812921,0.376737829033096,-0.39838301657744,1.72882239229202,-0.256636409458229,1.51392624604587
"22","Rt17",0.764110025228367,0.721729998326327,0.126885835192754,0.0367574201368408,1.02177535410619,61.0673362728522,6.02202778637662,-1.15296521747902,0.101139701447347,0.253417766382034,-0.769191903525158,2.29741195398189,-0.68259608522464,2.12605608187729
"23","Rt22",1.46619649146301,1.17964136964611,0.331610490783395,0.10231271458833,1.02475208699974,61.076328593097,4.42144181868093,-2.80077723448047,0.137046168785338,0.00681757706599735,-2.51445274997723,5.44684573290324,-2.4268038451172,4.78608658440943
"24","Rs12",1.15468711923287,1.13685565804446,0.0865891321064619,0.0558990251553896,1.11400632768019,61.3261896424368,13.3352430165622,-0.318994135208014,0.036391541866207,0.750814963052192,0.287072698143431,2.02230154032232,0.512836710245244,1.76087460584367
"25","Rs17",0.845276805815004,0.794857253619699,0.0931051186977289,0.0484363126981208,1.07234692829573,61.2144634340289,9.07873613865682,-1.04094530294956,0.0604411633753972,0.301994870448292,-0.165244380938615,1.85579799256862,0.0015584284864818,1.58815607875292
