"","variable","std","df","t_val","p_val","NA","NA","NA","NA","NA","NA","ci_lower","ci_upper"
"1","height",0.0101816045561713,389.208062261657,1.9473037954202,0.0522171446191338,NA,NA,NA,NA,NA,NA,16.9771279617783,19.7320354320919
"2","dbh",0.0364733770335738,458.107956452957,1.11060335500512,0.267321699097924,NA,NA,NA,NA,NA,NA,43.157492530336,47.4407221964171
"3","hegyi_index",0.0341464483516464,452.664424401325,0.178154525127635,0.858681321478431,NA,NA,NA,NA,NA,NA,15.0255714974892,18.9105655888207
"4","wc_22",0.0146145848876348,438.25631219494,-3.25796153998549,0.00120943110823356,NA,NA,NA,NA,NA,NA,52.6338374487066,54.0119025444382
"5","percent_c",0.00625697907471539,451.945880377076,0.489502133686199,0.624723739835771,NA,NA,NA,NA,NA,NA,48.0281185382673,48.7072802428904
"6","percent_n",0.00109020562859049,399.724157883439,-0.893275830939312,0.372246954776752,NA,NA,NA,NA,NA,NA,1.26251674591999,1.48524845072535
"7","cn",0.0244980640440575,413.06355861871,1.19903713946338,0.231200890890588,NA,NA,NA,NA,NA,NA,37.3075757882062,41.5361653011264
"8","sla_22",0.0311172171502346,401.776137191652,-0.732611096323281,0.464222834991718,NA,NA,NA,NA,NA,NA,44.9503393518924,49.308943717541
"9","age",0.103462341044112,397.410708331266,4.24918715171593,2.67571703053095e-05,NA,NA,NA,NA,NA,NA,98.8169609735409,112.430607248487
"10","chlor_a_fw_22",0.742746200445848,439.710233156581,-4.36534681111975,1.58391471253724e-05,NA,NA,NA,NA,NA,NA,727.208054021613,828.203598361974
"11","chlor_b_fw_22",0.322594127544357,443.957137532104,-3.48031275699019,0.000550339767500796,NA,NA,NA,NA,NA,NA,334.638789576713,376.608610250249
"12","total_chl_fw_22",1.04346453025261,440.480666290479,-4.18427023345888,3.45463539094631e-05,NA,NA,NA,NA,NA,NA,1062.947121571,1203.72732985356
"13","xc_fw_22",0.0321838949504582,440.553777876785,-3.19496073583809,0.00149896580713931,NA,NA,NA,NA,NA,NA,38.2875877618943,42.6254913615036
"14","chla_chlb_22",0.000829124360240967,453.707522091782,-2.73337408193102,0.00651393178185777,NA,NA,NA,NA,NA,NA,2.1346935071008,2.2291033183748
"15","chl_xc_22",0.0118916644054872,451.500848651442,-3.88930774724181,0.000115644270041906,NA,NA,NA,NA,NA,NA,27.0860193815616,28.4963441275493
"16","leaf_d13c",0.00443561185607932,420.706757034265,2.23188290139963,0.0261485982800489,NA,NA,NA,NA,NA,NA,-27.412881604776,-26.7075692203613
"17","leaf_d15n",0.00588486447262429,445.032247076862,-1.81398708000592,0.0703530176079395,NA,NA,NA,NA,NA,NA,-5.16439999990986,-4.43835617348968
"18","leaf_d18o_corrected",0.00546768005163716,449.998816587532,-1.01594413340168,0.31020190194228,NA,NA,NA,NA,NA,NA,19.1203442103608,19.7054221827696
"19","mean_1980",2.4488124032602,408.996481626561,-2.37015192080994,0.018243844389625,NA,NA,NA,NA,NA,NA,862.016342836943,1127.5247779201
"20","mean_05",1.99148841193971,358.104857665958,-4.88421109108469,1.56819436099286e-06,NA,NA,NA,NA,NA,NA,704.974582401741,868.631981004736
"21","Rt12",0.000889128126423264,397.415149404143,-1.9128308735869,0.0564881323581427,NA,NA,NA,NA,NA,NA,0.698784565888188,0.784265217321533
"22","Rt17",0.000993576541688076,381.007443950489,-1.88326809603447,0.0604255226424524,NA,NA,NA,NA,NA,NA,0.849222677888256,0.937175513537997
"23","Rt22",0.00126878424363687,388.53827735703,-2.67150026604941,0.00786887518812326,NA,NA,NA,NA,NA,NA,0.866527879645118,1.00232589293336
"24","Rs12",0.00100974362034623,395.644549898693,-3.13953313715117,0.00181914853313913,NA,NA,NA,NA,NA,NA,0.855256193046579,0.951597037031228
"25","Rs17",0.0015860569257128,393.955914015608,0.0661417851424349,0.94729849570958,NA,NA,NA,NA,NA,NA,1.00050808116237,1.16755146300862
