"","variable","std","df","t_val","p_val","NA","NA","NA","NA","NA","NA","ci_lower","ci_upper"
"1","height",0.00900068029682679,240.278767179432,-0.445618417068808,0.656274145725673,NA,NA,NA,NA,NA,NA,14.9052745230869,16.9714286431643
"2","dbh",0.033433211485715,248.668934675327,-0.0790277015049754,0.937074146620175,NA,NA,NA,NA,NA,NA,38.5445132813215,42.1869036515154
"3","hegyi_index",0.0260316701066832,225.1565887129,-0.383802146834807,0.701487274451172,NA,NA,NA,NA,NA,NA,12.4421930528869,15.0342343731859
"4","wc_22",0.0152708789229933,170.522056509892,-4.54572371566791,1.03386246741519e-05,NA,NA,NA,NA,NA,NA,53.7707448333876,55.1122083005273
"5","percent_c",0.00789808649969483,254.760186356999,0.60334563937068,0.546815558798595,NA,NA,NA,NA,NA,NA,48.4912114609948,49.4560282200681
"6","percent_n",0.0015921195173698,236.66755204633,-0.535983240044865,0.592473505194983,NA,NA,NA,NA,NA,NA,1.42882175966528,1.77480506803774
"7","cn",0.0272861703055541,236.627230400558,0.580296597506504,0.562266804229218,NA,NA,NA,NA,NA,NA,31.9615203133508,37.8903960707168
"8","sla_22",0.0379331731578161,234.718854510551,-0.386651678823085,0.699364389561664,NA,NA,NA,NA,NA,NA,44.1477657266924,49.591324350948
"9","age",0.106628332048231,234.253214450237,3.35476309808256,0.000926440004102394,NA,NA,NA,NA,NA,NA,97.9437246235122,117.387994524765
"10","chlor_a_fw_22",0.819720616032418,254.680011048093,-4.37098775361295,1.80290542766376e-05,NA,NA,NA,NA,NA,NA,742.508320543547,839.939587304592
"11","chlor_b_fw_22",0.325366190562114,246.540984662808,-3.51236247231431,0.000528118407443168,NA,NA,NA,NA,NA,NA,334.31061792815,370.541984262257
"12","total_chl_fw_22",1.12270914223953,253.480334689789,-4.22052077298427,3.39810240106998e-05,NA,NA,NA,NA,NA,NA,1077.74281853273,1209.55876491067
"13","xc_fw_22",0.0336578822163253,228.442726188248,-2.95346049893043,0.00347072047293381,NA,NA,NA,NA,NA,NA,37.0525834333365,40.4877455098766
"14","chla_chlb_22",0.000954701425541851,236.221531411932,-2.81430536159582,0.00530034821506834,NA,NA,NA,NA,NA,NA,2.18859354619242,2.28919319883212
"15","chl_xc_22",0.0140139265148515,252.122295794459,-3.59642058764675,0.000388125319122165,NA,NA,NA,NA,NA,NA,28.6285727460161,30.2529213207888
"16","leaf_d13c",0.00473699791354466,254.468274069214,1.25655294443905,0.210067822361713,NA,NA,NA,NA,NA,NA,-27.2251435713014,-26.4896739136948
"17","leaf_d15n",0.00728750118380935,257.794132760712,-1.18997147826396,0.235152327973328,NA,NA,NA,NA,NA,NA,-6.08623732509831,-5.12523551420755
"18","leaf_d18o_corrected",0.00731826121559797,250.627777046441,-0.0952366513997723,0.92420295920253,NA,NA,NA,NA,NA,NA,18.5963764054449,19.464689602976
"19","mean_1980",2.07824488856401,245.2100320896,-2.49753431669964,0.0131624805950905,NA,NA,NA,NA,NA,NA,675.125665369147,935.469459124128
"20","mean_05",2.04276112061224,220.753553016598,-4.75711585548308,3.54659660100942e-06,NA,NA,NA,NA,NA,NA,596.055219271937,809.782035913233
"21","Rt12",0.00114279118376115,221.874364438457,-2.62032045999563,0.00939159311540283,NA,NA,NA,NA,NA,NA,0.703266296363123,0.823911872115898
"22","Rt17",0.00125378723328127,196.915246437192,-1.95876983416408,0.0515516899081678,NA,NA,NA,NA,NA,NA,0.897437812681424,1.01798344504257
"23","Rt22",0.00117814719733219,153.34381910549,-0.683660017249353,0.495221633609864,NA,NA,NA,NA,NA,NA,0.880944771367325,0.980282616168254
"24","Rs12",0.0011315822779009,195.574172132989,-3.63996602982757,0.00034898112369195,NA,NA,NA,NA,NA,NA,0.770034738919028,0.878361165552576
"25","Rs17",0.00209182724072287,227.29970361281,0.159798963523821,0.873181351700165,NA,NA,NA,NA,NA,NA,1.14261541217745,1.37323028664914
