"","variable","std","df","t_val","p_val","NA","NA","NA","NA","NA","NA","ci_lower","ci_upper"
"1","height",0.0242971128130939,71.2825093288272,1.19916087757073,0.234436454944671,NA,NA,NA,NA,NA,NA,11.8980752946998,15.4242776464768
"2","dbh",0.094888110610449,81.3397638237601,1.19188465480447,0.23677236749517,NA,NA,NA,NA,NA,NA,44.5169423760531,51.3301164474764
"3","hegyi_index",0.130323616281923,76.8420456983757,1.00238368002738,0.319304447293591,NA,NA,NA,NA,NA,NA,23.2468270607908,35.0430050025974
"4","wc_22",0.0284912670269747,77.9997230021232,-1.10905060302746,0.270816159159775,NA,NA,NA,NA,NA,NA,53.6945365929665,55.2152818072869
"5","percent_c",0.0193612096173177,76.8467190523909,0.185269843259185,0.853505510833245,NA,NA,NA,NA,NA,NA,46.6455624349521,48.1936054189779
"6","percent_n",0.00166482176817285,81.0998487972539,-0.776540651391521,0.439688805388191,NA,NA,NA,NA,NA,NA,0.922258733952076,1.02448928459435
"7","cn",0.0805588736549753,79.8378354313365,0.805760691657868,0.422774290249949,NA,NA,NA,NA,NA,NA,47.1360219155938,52.5234578968827
"8","sla_22",0.0396257974912356,70.663442422627,-1.36941017519001,0.175207653801261,NA,NA,NA,NA,NA,NA,41.3028591898917,44.4513718527366
"9","age",0.268395327961306,75.0150298384675,1.69796241753187,0.0936597459919713,NA,NA,NA,NA,NA,NA,108.863961151847,135.279688596437
"10","chlor_a_fw_22",1.18810483796788,67.565913803769,-2.28730158311414,0.0253156852490757,NA,NA,NA,NA,NA,NA,420.764454461449,473.557066616634
"11","chlor_b_fw_22",0.506666654435759,82.9999999988833,-2.37451049698536,0.0198792965077962,NA,NA,NA,NA,NA,NA,203.605989432505,225.326792406143
"12","total_chl_fw_22",1.65390820834366,82.9999999981702,-2.27963444419585,0.0251952780367394,NA,NA,NA,NA,NA,NA,626.17562330331,697.078679613423
"13","xc_fw_22",0.0540935888971304,78.3092667350156,-2.01138468564201,0.0477254089112195,NA,NA,NA,NA,NA,NA,25.933301350324,28.6659602904301
"14","chla_chlb_22",0.00231568112157088,82.9999081853791,-0.868381706541186,0.387689405308534,NA,NA,NA,NA,NA,NA,2.01403908698455,2.15495771504139
"15","chl_xc_22",0.0287698677772202,82.9999999992283,-2.73058065780997,0.00771960500043401,NA,NA,NA,NA,NA,NA,23.4433892872395,24.6767537174733
"16","leaf_d13c",0.0145923293680024,81.3060852917999,2.14201624739109,0.0351843096914763,NA,NA,NA,NA,NA,NA,-25.598111922852,-24.7190217127578
"17","leaf_d15n",0.0175171179352584,79.1881236661465,-0.401292536817317,0.689285608711526,NA,NA,NA,NA,NA,NA,-4.69482210342597,-3.47513408690707
"18","leaf_d18o_corrected",0.0103259995256086,78.3645796693162,-0.210940737814955,0.833481083837753,NA,NA,NA,NA,NA,NA,19.7955415184643,20.5496674034846
"19","mean_1980",4.2294836537356,78.4031845221584,-0.255523926505894,0.798987627211544,NA,NA,NA,NA,NA,NA,746.109897030595,1085.76703251077
"20","mean_05",4.23502051565001,72.1672001916389,-1.87953947476626,0.0642080919750562,NA,NA,NA,NA,NA,NA,721.389332749937,917.212786562538
"21","Rt12",0.00177094917661994,78.0919685642816,-0.0575466715148604,0.954256724096866,NA,NA,NA,NA,NA,NA,0.545197023032722,0.690176197598954
"22","Rt17",0.00180627179018921,79.4116694687044,-0.448336652371543,0.655131147725368,NA,NA,NA,NA,NA,NA,0.651468615005888,0.787700633023965
"23","Rt22",0.00396705047799819,74.0025601626833,-3.34625821338943,0.00128935110847492,NA,NA,NA,NA,NA,NA,1.08454996682829,1.49645999351587
"24","Rs12",0.00244548066020088,80.9363258069878,-0.83204301228756,0.4078329219076,NA,NA,NA,NA,NA,NA,1.07449965586713,1.24399871592836
"25","Rs17",0.00206843578971211,81.9794295610746,0.931635336059546,0.354260594620247,NA,NA,NA,NA,NA,NA,0.738000398026549,0.861989787944895
