"","variable","estimate_healthy","estimate_damaged","std_error_healthy","std_error_damaged","df_healthy","df_damaged","t_val_healthy","t_val_damaged","p_val_healthy","p_val_damaged","ci_lower_healthy","ci_upper_healthy","ci_lower_damaged","ci_upper_damaged"
"1","height",15.9661064024898,15.9871502248475,0.853907561684704,0.0118322982131717,71.674397101516,220.515127140643,18.6976988129602,1.77850675993812,2.79179812608884e-29,0.0766984126347125,15.0452765355006,18.1620629000824,NA,NA
"2","dbh",41.6352232978146,41.6831326416893,1.63389562125542,0.0377338680323224,132.028756099039,251.654809075981,25.4821805972059,1.26966426642797,8.03127764906882e-53,0.205377071970923,40.7414030711043,45.44031629791,NA,NA
"3","hegyi_index",20.022098979565,19.9861051880793,1.78989571671618,0.0383968150895539,118.62304758412,238.016376163458,11.1861818499116,-0.937416069580476,2.84313622664219e-20,0.34949478959883,16.1944359628454,21.6654328855373,NA,NA
"4","wc_22",53.6317236968144,53.5955117599852,0.640475218254061,0.0157742490154972,146.141142818611,254.464242028192,83.7373908751922,-2.2956361848735,2.14859164636846e-125,0.0225104151969511,51.6704684399841,53.3957003836414,NA,NA
"5","percent_c",48.5378144061874,48.5387462503395,0.309206340317178,0.00649834822153556,114.763889495958,242.226548726414,156.975482315137,0.143397078813306,8.90672445308877e-136,0.886095808679068,48.0848973266388,49.0470705689537,NA,NA
"6","percent_n",1.31007477761748,1.31030968124463,0.0684388473022811,0.00113032936976267,82.7420457846966,226.085239154524,19.1422683060563,0.207818741540527,3.89258542065599e-32,0.835557578745066,1.1978820972861,1.43646967724554,NA,NA
"7","cn",39.9127258559005,39.9221208307052,1.51113437369877,0.0242582264151274,80.3605967135264,224.863849274003,26.4124266846018,0.387290259558776,2.27214057718334e-41,0.69890764487423,37.538951181163,42.8545185475688,NA,NA
"8","sla_22",45.4977613407191,45.4826912721083,1.36209427198089,0.0291676479563369,116.616193106636,222.408817738693,33.4027991135678,-0.516670683675886,1.52236224158224e-61,0.605899428694015,42.9557704893944,47.1125070614029,NA,NA
"9","age",101.019026031526,101.448584636598,5.69019833187644,0.110700443404121,97.6328844180833,210.834746217336,17.7531643256824,3.88036932700982,2.49338699265059e-32,0.000139444052071426,104.516200934635,123.13933118729,NA,NA
"10","chlor_a_fw_22",815.763584517104,812.538455138996,37.9628345258965,0.702650865703081,95.4026250405464,232.346167150136,21.4884793168073,-4.58994578321749,2.46470739309709e-38,7.25989372812434e-06,655.019698352092,781.640458066166,NA,NA
"11","chlor_b_fw_22",371.338629378397,370.172578526196,16.2741258004245,0.30183440247572,95.6316347089728,232.464121154701,22.8177312829123,-3.86321387700056,1.79827131093672e-40,0.000145158658087486,308.996270734431,363.226497833857,NA,NA
"12","total_chl_fw_22",1187.41635718934,1183.0148627467,53.4961982633012,0.980641940715691,94.2203896399871,231.752143901938,22.1962755436384,-4.48838078395089,3.35571788847065e-39,1.13103400282323e-05,964.844894320807,1144.04311752721,NA,NA
"13","xc_fw_22",41.6211590784953,41.5189957255934,1.66403560932415,0.0293627764720756,90.0750585077827,229.658981343432,25.0121805358479,-3.47934920251906,2.58775991985206e-42,0.00060126844876805,35.7032021206872,41.3662575103939,NA,NA
"14","chla_chlb_22",2.18718456958031,2.18534169526896,0.0374518279923049,0.000909299784830549,142.977271942892,256.322400508335,58.3999416538413,-2.02669608206952,1.19562374122772e-101,0.0437287916268501,2.08020936110075,2.18281062905651,NA,NA
"15","chl_xc_22",28.6153555087694,28.5675437856436,0.640532532597775,0.012620773577269,103.354238331764,236.454130733227,44.6743202764667,-3.78833538476068,2.11607903098888e-69,0.000192436926382921,26.1353084225524,28.2065486727863,NA,NA
"16","leaf_d13c",-26.9747132770796,-26.967209905977,0.264742370701407,0.00451118650637878,86.1659766046636,227.820160858383,-101.89042730717,1.66328106630017,1.34087263437444e-91,0.0976311919374853,-27.2044469977053,-26.2913274645032,NA,NA
"17","leaf_d15n",-4.72037730586495,-4.72836469959949,0.311480487403108,0.00597794199452203,97.7674250804407,234.0077166864,-15.1546485149678,-1.336144402516,2.09224427225234e-27,0.182799933954702,-5.47261037930924,-4.45106022142883,NA,NA
"18","leaf_d18o_corrected",19.686551215212,19.6807842999782,0.298904521110604,0.00666685318579113,126.26046419839,248.013348866535,65.862340061184,-0.865013083842982,1.26320998449175e-99,0.387867513925769,19.0672163980317,19.9572196630862,NA,NA
"19","mean_1980",805.9368415707,803.125535053818,69.6045672169108,1.76791252970807,133.030723940764,231.981186678703,11.5787925102549,-1.59018416897926,7.08136696869471e-22,0.113155134683409,630.794113088639,813.422380125043,NA,NA
"20","mean_05",880.50741988587,871.912588575881,63.324458079115,1.73718301720225,138.527052327293,218.025742874621,13.9046972780375,-4.9475681173947,4.6221023457381e-28,1.50113968426934e-06,552.811850055802,701.48163074439,NA,NA
"21","Rt12",0.708811464763228,0.707988056304649,0.0416366122275106,0.000986263876934478,126.863284758447,225.08871810298,17.0237544997692,-0.834876423881914,1.46901156759234e-34,0.404672525060963,0.625077247576882,0.743640209864278,NA,NA
"22","Rt17",0.984405050465006,0.981798710410124,0.0482758859842512,0.00118874299933908,125.358236235207,226.253776298567,20.3912373723425,-2.19251768997253,1.24762168746487e-41,0.0293614276888533,0.841234866020302,0.973914490804497,NA,NA
"23","Rt22",1.13580915085147,1.13088814242263,0.0694845917943466,0.00156496710814841,114.947429976466,210.776610731213,16.3462016760942,-3.14448041956742,9.14350758168244e-32,0.00190381664053565,0.887555255957197,1.09660145962357,NA,NA
"24","Rs12",0.933413841708326,0.93105226365023,0.0428941997283988,0.000928518342939252,110.972041155246,216.142811506848,21.7608405709536,-2.54338331176137,7.68813084140411e-42,0.0116774435696426,0.797417858328281,0.92914640103176,NA,NA
"25","Rs17",1.17041995420588,1.16969075440742,0.0911498023497889,0.00202926793549832,113.341525710376,210.76115471804,12.8406197713339,-0.359341310084827,7.6387122713635e-24,0.719699534051854,1.01079699244463,1.28739282997749,NA,NA
