"","variable","delta_aic","estimate_cold","estimate_hot","ci_upper_hot","ci_upper_cold","ci_lower_cold","ci_lower_hot"
"1","height",-1.61973183021064,18.9594980964499,-0.324981009772214,22.6154993855722,22.9505608258759,14.9596053585494,14.6601889848207
"2","dbh",-0.438592978885936,45.9180607977564,-2.07106135802072,49.3529481497268,51.5272916940168,40.2603392784734,38.3721909134487
"3","hegyi_index",4.62365967398227,13.6910992788963,4.21136219401453,21.9034038224515,17.8934638683012,9.46480849199635,13.8988535698692
"4","wc_22",0.627877666324366,53.6748925552484,-1.07540891239917,54.42101484618,55.5584505287567,51.7736584699921,50.7869651772112
"5","percent_c",4.52471972875833,47.9677105786705,0.727174737889501,49.5910863993635,48.8898973877027,47.0437899125051,47.8003490439795
"6","percent_n",1.47980217892538,1.43214171530228,-0.0862480456346022,1.65960668242638,1.74753599319217,1.1165528505882,1.0323036477605
"7","cn",3.5176206848073,37.6739878466769,2.52179971219217,45.7861560704956,43.3208411229257,32.0262127342782,34.605950075774
"8","sla_22",-1.94457288371586,46.4771523185912,0.366406877312286,53.0407192467634,52.7400113596168,40.159147125878,40.6824111484765
"9","age",26.0032994017288,89.4676860800594,28.3755624793184,135.222249398531,107.236839769445,71.5869728987404,100.546365207165
"10","chlor_a_fw_22",10.36435871502,844.762855618148,-119.395697684992,846.249926680969,968.177247668322,721.037418530453,604.702964162541
"11","chlor_b_fw_22",3.36576861595586,375.92159739799,-32.2071195300555,397.254515209579,430.395741026979,321.315565094722,290.278095932906
"12","total_chl_fw_22",8.53674294386565,1220.62216163428,-151.50412177645,1240.96928016032,1395.79676524663,1045.01221087789,897.584713800769
"13","xc_fw_22",3.80866012991055,42.9474357201856,-3.43150590321904,45.2480998680554,48.7747916748383,37.1133746606751,33.7911678651434
"14","chla_chlb_22",4.76979293798829,2.23169381533391,-0.106619214438355,2.23028892084941,2.34150085471976,2.12119592905662,2.0201536584868
"15","chl_xc_22",0.58405857322623,28.0240530468323,-0.85440397633952,28.8407917845754,29.7361793716693,26.2983017804428,25.5054515908308
"16","leaf_d13c",-1.1056175643489,-27.2517601076283,0.184776643323941,-26.1126062181331,-26.2834751777162,-28.2168559380664,-28.0236301706133
"17","leaf_d15n",6.01476509412441,-4.34545271935074,-0.816425698078938,-4.2226635671362,-3.37503869531306,-5.31049093751468,-6.10473452673842
"18","leaf_d18o_corrected",-0.290608257864051,19.0562812398937,0.32289038431261,20.204185478946,19.9008548669451,18.207492389961,18.5556134042108
"19","mean_1980",22.1798424140861,1314.45197402112,-531.727421051813,1089.70479125407,1629.47071083315,996.214308716557,478.768078915568
"20","mean_05",16.3586188559548,989.019543984604,-364.720005861016,797.43522175583,1173.44350790007,802.555113616177,453.001015333635
"21","Rt12",-1.72105751376787,0.760436654723439,-0.0187394455281373,0.857933010173603,0.878551914060135,0.640848652780079,0.626573770917701
"22","Rt17",0.973054038151432,0.938081419587321,-0.0687665054612836,0.976877396729349,1.05181514744008,0.826362558782566,0.76050157616891
"23","Rt22",-1.59436104254112,0.926995484925255,-0.0323112131215753,1.06827840105516,1.10638908712784,0.749152692596652,0.71967940559749
"24","Rs12",-1.86909321344,0.864668076772482,0.015374253243386,1.00619037247648,0.993486132852141,0.733648927581261,0.754966957850668
"25","Rs17",-1.76518815029726,1.12534729893246,-0.0287950290020197,1.32125942463025,1.35608030279294,0.896424181644292,0.870605479029932
