"","variable","delta_aic","estimate_cold","estimate_hot","ci_upper_hot","ci_upper_cold","ci_lower_cold","ci_lower_hot"
"1","height",-1.97790333113062,15.7304967930232,0.0890490740330617,18.8898584416322,18.7883062366406,12.6393664023445,12.7727925543838
"2","dbh",-1.79162054252083,39.866451544543,-0.777495376340084,43.3421984487487,44.2220372859767,35.4067277534827,34.8944349033342
"3","hegyi_index",11.7190473927631,10.4429251425001,4.77243723467239,18.1458350533219,13.3226600266559,7.27571351752359,12.4429413076285
"4","wc_22",7.37642675448888,55.776627992281,-2.79202378939346,54.5862634439325,57.3901037603327,54.004733412102,51.470908814766
"5","percent_c",0.0794170437962975,48.6895942096652,0.588842715063715,50.6651197965326,50.116691151687,47.2812321280464,47.8795845239084
"6","percent_n",2.12672701245364,1.68020505207527,-0.158893343481401,2.06311789605921,2.22307673035225,1.13688120244605,0.979742812294709
"7","cn",7.74211999038539,32.9225739865123,4.3320805134975,46.4450162711262,42.1322017599644,23.7055764530322,28.0713658435965
"8","sla_22",-1.26939093762508,44.7101863418888,1.92705240150062,55.3861404495416,53.4815542984497,35.8286987916696,37.9575250173742
"9","age",44.6522740195146,82.7298522448182,50.8292589856807,161.325068084318,110.585211482795,54.5849089927588,106.032565813799
"10","chlor_a_fw_22",23.6228370537983,885.977213045844,-227.561175676752,794.493371371146,1028.94686773942,747.059305104171,519.083839713211
"11","chlor_b_fw_22",10.8669182318531,375.204943314187,-62.076343663951,361.252292643439,426.296975062791,325.699111842571,263.687099327002
"12","total_chl_fw_22",20.8288631452292,1261.97175619651,-291.088181456533,1154.08366033592,1454.57626865363,1074.82137228767,783.278557444202
"13","xc_fw_22",13.4420536483528,42.1257419654657,-7.16672849914355,39.7546121525917,47.2833335419174,37.1811675566624,30.0052493829494
"14","chla_chlb_22",7.94334638032966,2.31249653272483,-0.159200033232665,2.25944348999205,2.43009685997515,2.19820799576857,2.04374119808917
"15","chl_xc_22",0.719967055056486,29.4951913588537,-1.22943093690238,30.4455752477434,31.7451421851378,27.2443394725701,26.0731368697332
"16","leaf_d13c",-1.99009705482479,-26.7605808855347,0.0230817572333029,-25.5479786355355,-25.5607308354677,-27.9558994701044,-27.9293318380448
"17","leaf_d15n",13.1428816158414,-4.81654147765793,-1.58556547049387,-5.31494569412951,-3.67370663521589,-5.94154650107808,-7.50266009386645
"18","leaf_d18o_corrected",-1.4458895360508,18.6426252843275,0.286439215227935,20.2552254373645,19.9838582783768,17.2889380495105,17.608288454868
"19","mean_1980",44.3155285533708,1166.6596892692,-758.404658399876,713.990497268213,1489.40207566131,852.463628381324,95.8757511572389
"20","mean_05",29.1307075397376,993.813261100694,-589.573040397912,666.684601877291,1273.34480348283,720.950197061554,136.70391348671
"21","Rt12",-0.569792289407843,0.78430093239174,-0.0672247388399986,0.910441575944198,0.976922337114982,0.586926182691809,0.526871320242799
"22","Rt17",0.761794895226217,0.996506252720736,-0.108027308438126,1.07653252514582,1.19547204901692,0.804223054325017,0.695267038164405
"23","Rt22",-1.97836271875695,0.934580279120841,-0.00830892671726751,1.04667666892046,1.06781820060104,0.806807575372418,0.802875481103481
"24","Rs12",-1.65954061119669,0.826740286599509,-0.0375346544489212,0.970905155987458,1.0039493132894,0.638802438630695,0.614614363728624
"25","Rs17",-1.68836757007111,1.31547314105719,-0.05423362704692,1.62694397128266,1.69212297907536,0.946241589994969,0.890402311077317
