"","variable","delta_aic","estimate_healthy","estimate_damaged","ci_upper_damaged","ci_upper_healthy","ci_lower_healthy","ci_lower_damaged"
"1","height",2.49836842801005,16.0244107026652,0.800805749065178,21.1072057720725,20.3099026617731,11.7373602574168,12.5441487978415
"2","dbh",1.69472763950307,41.1478285470007,2.32335716437652,48.9871850346268,46.6898652191785,35.573784806924,37.9685194524953
"3","hegyi_index",-1.51678051238355,17.5522397440698,0.908336502938327,24.7521700045805,23.8696637088577,11.1937866346805,12.1773723635685
"4","wc_22",4.98401170080888,53.1209814185538,-1.26062382057663,53.9437586251869,55.2225936384453,51.0164145324695,49.7763247306825
"5","percent_c",-1.87218358416169,48.6076021497931,0.0705316051976803,49.9344811892058,49.8701786546324,47.3471202534506,47.4212714836711
"6","percent_n",1.12444723456513,1.33924416551465,-0.0591142636542138,1.60311914858977,1.66313139816951,1.01578085612093,0.956767763195016
"7","cn",2.58185195037413,39.4374511246011,1.57606016958667,48.0334369043308,46.4598322460556,32.4054338965597,34.0013176566778
"8","sla_22",-0.637254820761882,44.6123064360009,-0.97982038533401,49.4153649733534,50.4220897366404,38.8046680184898,37.8405666284274
"9","age",13.5657157077771,105.452180626549,16.3790837041616,145.808683201221,129.553242837733,81.3720514721719,97.8224052873392
"10","chlor_a_fw_22",5.01905556629436,743.280162341285,-57.9376591142822,842.942566578805,901.42276886649,585.189124142578,527.645146074978
"11","chlor_b_fw_22",2.45088535606283,345.344575684111,-18.6401658926682,396.499415293967,415.327338699013,275.378845216649,256.891330069932
"12","total_chl_fw_22",4.60197801857612,1088.64157050983,-76.6317065034304,1238.17943754518,1315.49783039583,861.850250313229,785.732896713158
"13","xc_fw_22",0.607919922562132,39.5461833566593,-1.44248759216427,45.5781071191194,47.0363851517379,32.0565010782015,30.6304995866859
"14","chla_chlb_22",1.72964613017159,2.15365270963704,-0.0599308298029906,2.19188569021561,2.25455038981226,2.05314063347222,1.99459931905534
"15","chl_xc_22",9.46988004706714,27.5974753193605,-1.29401582765611,28.8949082281742,30.2013171331389,24.9961816386651,23.7071613260013
"16","leaf_d13c",-1.25972681776295,-26.7622570738496,0.116661990643647,-25.4276447722156,-25.5427779142625,-27.9823552807453,-27.862773704321
"17","leaf_d15n",3.15687545096239,-4.70671165443153,-0.425897673569784,-3.83649667009158,-3.40967797266443,-6.0072914013928,-6.42577000354901
"18","leaf_d18o_corrected",-1.99990126303692,19.296454061238,0.00196871197115163,20.5384403893756,20.5398935318221,18.0495982429922,18.0582558027778
"19","mean_1980",0.131658185421657,742.795392131505,-80.7382795617834,864.794851200382,946.331105805579,536.956168231451,460.454310983299
"20","mean_05",22.5318577488906,763.672092520451,-272.335222323426,638.655511457246,912.890038245434,612.154782240479,344.927504913057
"21","Rt12",-1.10796017318361,0.698335604100422,-0.0258784127411846,0.82351125648902,0.84984849067556,0.546654612421458,0.521619761545898
"22","Rt17",0.0069286814281817,0.929805727291136,-0.0476843970633517,1.0392107158426,1.08845113467785,0.771748238784695,0.724476002666484
"23","Rt22",4.19433237728336,1.03358046802393,-0.112336433486488,1.17511514213328,1.28844357714333,0.778516061743807,0.666963895741462
"24","Rs12",0.567125468243319,0.865944479352046,-0.04486951722568,0.987140174303665,1.03198824473592,0.699035022086823,0.655381898359466
"25","Rs17",0.151758205877655,1.21216391663461,-0.0783049312655553,1.493020819383,1.57303736708129,0.852249620776917,0.773905441805354
