"","variable","delta_aic","estimate_healthy","estimate_damaged","ci_upper_damaged","ci_upper_healthy","ci_lower_healthy","ci_lower_damaged"
"1","height",-1.61398168161759,14.630948008374,-0.231121816192487,16.6132849258758,16.814273140163,12.4490209279006,12.1823245075839
"2","dbh",-1.99416587482949,38.9111552455037,0.102557702269251,46.5236571209511,46.2933219452779,31.5101447908206,31.507913508926
"3","hegyi_index",-1.24131963378295,15.3628031878513,-1.20627984869001,18.8090103534127,19.9678409658392,10.6576230987368,9.51042585152198
"4","wc_22",5.08133332436955,53.883639395931,-1.75032196146125,54.5787998069018,56.3104531964528,51.446378260656,49.6770601779355
"5","percent_c",-1.98677763236105,49.5794754694492,0.0332587643334299,51.5095949691196,51.4453198481201,47.7082874542626,47.7197357351934
"6","percent_n",-0.403811071890487,1.54468881665466,-0.0770037432642057,2.07497479447163,2.14783530725003,0.942307368912757,0.859672016727462
"7","cn",0.0448659162402691,35.4111483468034,1.36332318260024,48.906718394597,47.4711842572013,23.3444025080274,24.6499982258124
"8","sla_22",-1.95332686508345,44.2771385165317,0.271102312404123,57.2570000427201,56.8868879195854,31.6727523790681,31.8252193952712
"9","age",7.14364291675588,112.842687066267,18.4596751092339,174.653178083956,155.655009591279,70.0889173586964,87.9945620356666
"10","chlor_a_fw_22",4.37266795588698,793.963267020468,-83.8211477024217,846.924197787416,927.974439795307,657.512809299273,573.070900075616
"11","chlor_b_fw_22",0.666710489024354,354.008398073291,-22.6254268518133,384.526336190215,406.20339736299,300.805405354299,278.160907820801
"12","total_chl_fw_22",3.35714980248531,1147.65135296971,-106.149614095543,1230.09755115244,1332.45064420665,959.530931264042,852.54699881385
"13","xc_fw_22",0.643386074729165,38.8024646929723,-2.09937480415417,39.9989545983999,42.2101266187233,35.308592401931,33.4056967305285
"14","chla_chlb_22",2.44435076843001,2.24273859627274,-0.0928887082085837,2.26519084110134,2.3618119749808,2.12029074947713,2.03278278774931
"15","chl_xc_22",2.11126446135347,29.4229196936114,-1.14017397152003,31.6946369120381,32.7727318101726,26.0437358597184,24.8656956626849
"16","leaf_d13c",-1.88642713954494,-26.6130509124906,0.0547831235359791,-24.7845531648588,-24.8532339074452,-28.3739573954034,-28.3300951306988
"17","leaf_d15n",-1.08107955585149,-5.94372252433956,-0.272724471858735,-4.66223444084567,-4.42126091589449,-7.47510808491898,-7.76444501263893
"18","leaf_d18o_corrected",-1.79411475750794,18.6728971339364,0.156341905994732,21.1177753112161,20.9275693536654,16.410887601258,16.5380551982741
"19","mean_1980",9.08331734495823,683.050894500452,-207.45895263197,742.963084328932,946.595220120258,418.434792379755,207.553341125973
"20","mean_05",19.8489512749304,726.302706464546,-342.383365062405,623.713259687491,966.951334826463,486.341086415646,143.66546347039
"21","Rt12",-0.00632672968425396,0.685887696899846,-0.0622051986800069,0.915861739501208,0.973937670835361,0.39748555410092,0.331522075318291
"22","Rt17",-0.318393800682635,1.02339465288686,-0.0746862117235881,1.2331476408475,1.3039911727799,0.742713811467754,0.663348535737761
"23","Rt22",-1.97391888248666,0.958704826131174,-0.00929914774055713,1.15403153222003,1.16218783011513,0.755113315271614,0.746155567813511
"24","Rs12",2.52156367715411,0.739058967581307,-0.0759388308705641,0.791179969318936,0.866034896085932,0.610495847460239,0.534602319669778
"25","Rs17",0.690462083704318,1.51635840749843,-0.151298236292858,1.98251355025822,2.12702299030763,0.907076978323122,0.746819563162419
