"","variable","delta_aic","estimate_healthy","estimate_damaged","ci_upper_damaged","ci_upper_healthy","ci_lower_healthy","ci_lower_damaged"
"1","height",-0.952872101426181,12.4878607346741,0.712096855666329,41.2870677768325,42.779313375071,-17.8231022994567,-14.8723391490581
"2","dbh",-1.03902722010798,45.833152176141,2.29306561604838,59.0998021116571,62.835517377168,28.5721883260434,37.3489768914602
"3","hegyi_index",-0.306760521630395,28.342135842443,4.76393549466597,46.6905638334781,50.4099853502109,6.74100631622971,19.1672173732629
"4","wc_22",-1.50611162372519,54.689317754602,-0.337769188471363,55.6967573057693,56.8549026963269,52.5831285859608,52.946172679732
"5","percent_c",-1.75515301551007,47.3425477690426,0.199061376497407,55.6405452117691,57.2034613804517,37.4629253044301,39.4537899341164
"6","percent_n",0.342989940794851,1.00518744979544,-0.0532638033052332,1.4025219283215,1.61125948002842,0.401207383167776,0.500082313820939
"7","cn",0.384826349612354,48.1556120854354,2.57193927106868,80.8252462871419,85.558575063824,10.6709321731117,20.6784128648716
"8","sla_22",-1.47187084286151,42.3847538829698,-0.590751376888319,69.027384829436,72.505327164625,12.2478972037606,14.5825287539814
"9","age",-0.902764589247681,116.603083096581,8.61827332429216,230.104617254485,257.571233425803,-24.8698311569692,20.6380277741774
"10","chlor_a_fw_22",6.06604771829052,482.400396165105,-81.6472946228454,456.58274823881,557.576705725559,407.224086604651,344.92345484571
"11","chlor_b_fw_22",6.63875706136548,230.719729121729,-35.6085179398621,218.586158543396,262.329456465297,199.110001778161,171.636263820338
"12","total_chl_fw_22",6.53812993138786,713.120125286834,-117.255812562708,673.650259913081,817.861258203429,608.37899237024,518.078365535173
"13","xc_fw_22",1.4073434874752,28.4464221509402,-2.42202178171905,30.3525511402693,35.0646552173867,21.6445809868234,21.8356557464042
"14","chla_chlb_22",-0.121831153834008,2.10527051026905,-0.0795918997383736,2.14121606390222,2.26084518921506,1.94969583132304,1.91014115715915
"15","chl_xc_22",9.81785762967007,25.0858047931978,-2.51188205897053,26.1749600344148,30.7751064099977,19.4680161625761,18.9185885371268
"16","leaf_d13c",1.36267224743898,-25.4330669561638,0.575566431260652,-20.3160849460952,-19.5141447656,-31.36954652108,-29.3884834609797
"17","leaf_d15n",2.98820825656523,-3.55546976651396,-0.831794023362852,3.8873547583697,6.3051810687116,-13.4004954917316,-12.6711668237803
"18","leaf_d18o_corrected",-1.46322953409918,20.3389470694389,-0.20308231969533,20.6803609397601,21.0917420638233,19.5861520750545,19.5913685597271
"19","mean_1980",-1.99833936525647,880.88656097561,-3.99112619300129,1069.68515183538,1147.42861696631,614.34450498491,684.105717729838
"20","mean_05",0.719064918437198,879.454853658536,-173.234071049841,910.828816884007,1162.33636290952,596.57334440755,501.612748333384
"21","Rt12",-1.26551120879325,0.664314234161775,-0.0351312926575601,1.51392624604587,1.72882239229202,-0.39838301657744,-0.256636409458229
"22","Rt17",-0.720093358082281,0.763580252436564,-0.0415354615817663,2.12605608187729,2.29741195398189,-0.769191903525158,-0.68259608522464
"23","Rt22",5.3302413255163,1.46462420850758,-0.284048583772098,4.78608658440943,5.44684573290324,-2.51445274997723,-2.4268038451172
"24","Rs12",-1.86061423272678,1.15654591560982,-0.0207947597603513,1.76087460584367,2.02230154032232,0.287072698143431,0.512836710245244
"25","Rs17",-1.0028882486137,0.843998965405496,-0.0483824153105718,1.58815607875292,1.85579799256862,-0.165244380938615,0.0015584284864818
