"","variable","delta_aic"
"1","height",-0.736975802396046
"2","dbh",-1.48857774304315
"3","hegyi_index",0.540826976023709
"4","wc_22",10.5156671184477
"5","percent_c",-1.2555500657827
"6","percent_n",7.2465061658519
"7","cn",7.8957502843341
"8","sla_22",-1.3596578493939
"9","age",41.7058857730826
"10","chlor_a_fw_22",19.8351138405233
"11","chlor_b_fw_22",9.63424180015591
"12","total_chl_fw_22",17.5395783597705
"13","xc_fw_22",7.93579645681666
"14","chla_chlb_22",8.28948906150384
"15","chl_xc_22",14.5746439006075
"16","leaf_d13c",1.02667765236447
"17","leaf_d15n",7.62515665641672
"18","leaf_d18o_corrected",-1.81539743717462
"19","mean_1980",11.7158038636226
"20","mean_05",25.488822411814
"21","Rt12",-0.504464047079239
"22","Rt17",15.6528170640475
"23","Rt22",8.07350929506796
"24","Rs12",1.48482148372536
"25","Rs17",3.05262236915274
