"","variable","delta_aic"
"1","height",-1.37427035955932
"2","dbh",-1.63853036149931
"3","hegyi_index",0.810877259853669
"4","wc_22",-1.53248550983915
"5","percent_c",-1.18592003901591
"6","percent_n",-1.41031581534951
"7","cn",-1.36480553297451
"8","sla_22",-1.7172183340839
"9","age",1.63265667443102
"10","chlor_a_fw_22",-1.85623904052818
"11","chlor_b_fw_22",-1.99693028145293
"12","total_chl_fw_22",-1.92171877686405
"13","xc_fw_22",-1.96959750899873
"14","chla_chlb_22",-0.900212667855605
"15","chl_xc_22",-1.99079351395903
"16","leaf_d13c",-1.90465243364963
"17","leaf_d15n",2.01851783155951
"18","leaf_d18o_corrected",-0.581458678050467
"19","mean_1980",-1.19521821405624
"20","mean_05",-1.98539320951204
"21","Rt12",6.15694327146426
"22","Rt17",-1.98406224978174
"23","Rt22",3.02710901565028
"24","Rs12",-0.748218081466943
"25","Rs17",-1.86503316370204
