"","variable","delta_aic"
"1","height",-1.99960052892834
"2","dbh",-1.83700893642526
"3","hegyi_index",-1.9674096994479
"4","wc_22",10.4239123274278
"5","percent_c",-1.67867742566898
"6","percent_n",2.10859112859691
"7","cn",1.88041444011856
"8","sla_22",-1.67646932992557
"9","age",8.55877980355217
"10","chlor_a_fw_22",19.306369534675
"11","chlor_b_fw_22",11.1520961127335
"12","total_chl_fw_22",17.8804451237324
"13","xc_fw_22",7.34841371158336
"14","chla_chlb_22",5.55958716158918
"15","chl_xc_22",11.0271258406588
"16","leaf_d13c",-0.405043101168872
"17","leaf_d15n",-1.43635921310783
"18","leaf_d18o_corrected",-1.64911907089743
"19","mean_1980",2.68737392256662
"20","mean_05",17.1576787807971
"21","Rt12",0.382391697266243
"22","Rt17",12.6703304525134
"23","Rt22",-1.28821711181666
"24","Rs12",3.32690204207956
"25","Rs17",3.34032403714284
