"","variable","delta_aic"
"1","height",-1.62839334945704
"2","dbh",-1.97549497345017
"3","hegyi_index",-1.30780688839911
"4","wc_22",-1.89085916615693
"5","percent_c",-1.0960976038578
"6","percent_n",-0.568979883510821
"7","cn",-0.245873350391435
"8","sla_22",-1.91330411839812
"9","age",2.35462527393918
"10","chlor_a_fw_22",2.74443660860129
"11","chlor_b_fw_22",3.5864921832158
"12","total_chl_fw_22",3.16199185761798
"13","xc_fw_22",0.213451247443572
"14","chla_chlb_22",-1.2488983298852
"15","chl_xc_22",6.48822765934113
"16","leaf_d13c",3.68676729114833
"17","leaf_d15n",-0.652687009245085
"18","leaf_d18o_corrected",-1.90850948967852
"19","mean_1980",-0.00448077249143353
"20","mean_05",1.86225902430397
"21","Rt12",-1.42243011772784
"22","Rt17",-1.61934250296136
"23","Rt22",14.8874485143125
"24","Rs12",-1.85150913126377
"25","Rs17",-0.509601838323846
