"","variable","delta_aic_aa","delta_aic_ps","delta_aic_pp"
"1","height",-1.37427035955932,-1.99960052892834,-1.62839334945704
"2","dbh",-1.63853036149931,-1.83700893642526,-1.97549497345017
"3","hegyi_index",0.810877259853669,-1.9674096994479,-1.30780688839911
"4","wc_22",-1.53248550983915,10.4239123274278,-1.89085916615693
"5","percent_c",-1.18592003901591,-1.67867742566898,-1.0960976038578
"6","percent_n",-1.41031581534951,2.10859112859691,-0.568979883510821
"7","cn",-1.36480553297451,1.88041444011856,-0.245873350391435
"8","sla_22",-1.7172183340839,-1.67646932992557,-1.91330411839812
"9","age",1.63265667443102,8.55877980355217,2.35462527393918
"10","chlor_a_fw_22",-1.85623904052818,19.306369534675,2.74443660860129
"11","chlor_b_fw_22",-1.99693028145293,11.1520961127335,3.5864921832158
"12","total_chl_fw_22",-1.92171877686405,17.8804451237324,3.16199185761798
"13","xc_fw_22",-1.96959750899873,7.34841371158336,0.213451247443572
"14","chla_chlb_22",-0.900212667855605,5.55958716158918,-1.2488983298852
"15","chl_xc_22",-1.99079351395903,11.0271258406588,6.48822765934113
"16","leaf_d13c",-1.90465243364963,-0.405043101168872,3.68676729114833
"17","leaf_d15n",2.01851783155951,-1.43635921310783,-0.652687009245085
"18","leaf_d18o_corrected",-0.581458678050467,-1.64911907089743,-1.90850948967852
"19","mean_1980",-1.19521821405624,2.68737392256662,-0.00448077249143353
"20","mean_05",-1.98539320951204,17.1576787807971,1.86225902430397
"21","Rt12",6.15694327146426,0.382391697266243,-1.42243011772784
"22","Rt17",-1.98406224978174,12.6703304525134,-1.61934250296136
"23","Rt22",3.02710901565028,-1.28821711181666,14.8874485143125
"24","Rs12",-0.748218081466943,3.32690204207956,-1.85150913126377
"25","Rs17",-1.86503316370204,3.34032403714284,-0.509601838323846
