"","full_model","null_model","variable","delta_aic"
"1",593.868732335397,592.564871787211,"height",1.30386054818666
"2",873.948803177175,872.422569732605,"dbh",1.52623344456947
"3",837.013297308021,838.228522069776,"hegyi_index",-1.2152247617546
"4",625.413511128655,623.947613145833,"wc_22",1.46589798282207
"5",357.836200787984,356.294538183966,"percent_c",1.54166260401803
"6",-107.484097894514,-108.476154131773,"percent_n",0.992056237258964
"7",690.358703639769,689.495887853997,"cn",0.862815785771886
"8",808.496196741988,806.78795708252,"sla_22",1.70823965946761
"9",745.389523265536,747.077146147871,"age",-1.68762288233506
"10",1508.61912249566,1506.77456033182,"chlor_a_fw_22",1.84456216384001
"11",1322.88904432892,1320.90659336689,"chlor_b_fw_22",1.98245096203686
"12",1580.92004017547,1578.99791910865,"total_chl_fw_22",1.92212106681495
"13",804.877526197021,802.948824244635,"xc_fw_22",1.92870195238652
"14",-5.55635474024577,-6.36061667851723,"chla_chlb_22",0.804261938271456
"15",528.868593879331,526.90300029379,"chl_xc_22",1.96559358554066
"16",-63.8080530718974,-65.5598428744982,"d13c_centered",1.75178980260076
"17",-98.1590101302159,-95.791520819995,"d15n_centered",-2.36748931022095
"18",-91.5879225795295,-92.1033260711363,"d18o_centered",0.515403491606747
"19",1298.95125613015,1297.23101432884,"mean_1980",1.72024180130347
"20",1218.4044164821,1216.37220854543,"mean_05",2.03220793666856
"21",-88.9054151211913,-83.3904408588675,"Rt12",-5.51497426232378
"22",-36.8607297860602,-38.7096718326844,"Rt17",1.84894204662424
"23",-78.784710072139,-74.3428445318872,"Rt22",-4.44186554025181
"24",-0.111034206358632,1.4922193442277,"Rs12",-1.60325355058633
"25",20.0831562088151,18.5017610810235,"Rs17",1.58139512779163
