"","full_model","null_model","variable","delta_aicc"
"1",331.781255619021,331.896590118634,"height",-0.115334499613596
"2",434.630489923668,434.133228669285,"dbh",0.497261254383034
"3",357.637295108966,356.260778308222,"hegyi_index",1.37651680074407
"4",345.890111182085,344.398571159568,"wc_22",1.49154002251657
"5",188.923891382334,188.090771905089,"percent_c",0.833119477244281
"6",-44.5239012822647,-46.5476023979084,"percent_n",2.02370111564368
"7",343.1744899662,341.118145777399,"cn",2.05634418880112
"8",380.580918521008,379.737490479225,"sla_22",0.843428041783568
"9",328.878512472788,338.915999278222,"age",-10.0374868054346
"10",752.689012288005,750.451521902159,"chlor_a_fw_22",2.23749038584594
"11",635.82792624009,633.803163118602,"chlor_b_fw_22",2.02476312148792
"12",781.662332098151,779.45244302108,"total_chl_fw_22",2.20988907707101
"13",384.347823191232,382.113050763156,"xc_fw_22",2.23477242807616
"14",17.3643758887262,15.4065317977647,"chla_chlb_22",1.95784409096144
"15",304.458767934973,302.269475061955,"chl_xc_22",2.18929287301842
"16",-2.05925967032755,-3.89008081483039,"d13c_centered",1.83082114450284
"17",-10.9731579028475,-11.1959519614789,"d15n_centered",0.222794058631351
"18",17.3112698585891,15.070215476867,"d18o_centered",2.2410543817221
"19",597.637941218569,595.318198945677,"mean_1980",2.31974227289152
"20",551.948936527031,552.033678862515,"mean_05",-0.084742335483611
"21",-26.813483243116,-25.8886769794974,"Rt12",-0.924806263618635
"22",-23.6047157342907,-25.9212047203321,"Rt17",2.31648898604138
"23",-47.971836711524,-40.1274623615153,"Rt22",-7.84437435000871
"24",-5.30781523897928,-7.61833946283745,"Rs12",2.31052422385817
"25",17.5634168847427,15.2774024572238,"Rs17",2.28601442751895
