"","full_model","null_model","variable","delta_aic"
"1",1227.68012824558,1226.23113779321,"height",1.44899045236207
"2",1857.26068045444,1855.63389943982,"dbh",1.62678101462188
"3",1734.72374631485,1733.78712422702,"hegyi_index",0.936622087831893
"4",1415.9665205277,1425.8767864441,"wc_22",-9.91026591640275
"5",983.530175670569,981.904966095534,"percent_c",1.62520957503421
"6",92.6576992209496,105.527509913462,"percent_n",-12.8698106925124
"7",1588.60853588831,1604.88910212841,"cn",-16.2805662400965
"8",1594.89789194891,1593.21303096116,"sla_22",1.68486098775111
"9",2373.61043603025,2407.15877026275,"age",-33.5483342324978
"10",3457.01334322014,3478.61186062336,"chlor_a_fw_22",-21.598517403218
"11",2969.72321724909,2980.9523382523,"chlor_b_fw_22",-11.2291210032167
"12",3617.54038072938,3636.98029142242,"total_chl_fw_22",-19.4399106930337
"13",1802.53355599216,1810.72924066909,"xc_fw_22",-8.19568467693512
"14",-16.4390502978836,-8.93990864702752,"chla_chlb_22",-7.49914165085612
"15",1318.65051481101,1328.82610425798,"chl_xc_22",-10.1755894469743
"16",-341.004008999486,-341.401389745059,"d13c_centered",0.397380745573287
"17",-325.121224520753,-323.112989448646,"d15n_centered",-2.00823507210657
"18",-346.63932450172,-347.592266685282,"d18o_centered",0.952942183561447
"19",3756.3232674236,3777.83157019092,"mean_1980",-21.5083027673186
"20",3629.437573168,3664.97610490491,"mean_05",-35.53853173691
"21",-63.572633452652,-63.816831549955,"Rt12",0.244198097302991
"22",7.53969786497429,24.3706133947545,"Rt17",-16.8309155297802
"23",25.0063033022262,23.9247797394778,"Rt22",1.08152356274839
"24",-26.0611926853649,-24.0152739552417,"Rs12",-2.04591873012324
"25",193.594552977234,198.509409225757,"Rs17",-4.91485624852294
