"","full_model","null_model","variable","delta_aic"
"1",1228.06576599515,1226.23113779321,"height",1.83462820193927
"2",1857.34928063581,1855.63389943982,"dbh",1.71538119599222
"3",1719.42671249777,1733.78712422702,"hegyi_index",-14.360411729253
"4",1425.17167299423,1425.8767864441,"wc_22",-0.705113449873807
"5",982.593474680923,981.904966095534,"percent_c",0.688508585388263
"6",103.484319820704,105.527509913462,"percent_n",-2.04319009275758
"7",1596.82709722624,1604.88910212841,"cn",-8.06200490216634
"8",1593.8575536558,1593.21303096116,"sla_22",0.644522694639136
"9",2361.74951615445,2407.15877026275,"age",-45.4092541083037
"10",3451.93756555799,3478.61186062336,"chlor_a_fw_22",-26.674295065372
"11",2967.64994173506,2980.9523382523,"chlor_b_fw_22",-13.3023965172479
"12",3613.18711365457,3636.98029142242,"total_chl_fw_22",-23.7931777678509
"13",1794.53233022128,1810.72924066909,"xc_fw_22",-16.1969104478105
"14",-16.6574421979635,-8.93990864702752,"chla_chlb_22",-7.71753355093595
"15",1327.96677696138,1328.82610425798,"chl_xc_22",-0.859327296604761
"16",-339.480298924239,-341.401389745059,"d13c_centered",1.92109082081964
"17",-335.915840832233,-323.112989448646,"d15n_centered",-12.802851383587
"18",-346.566292665612,-347.592266685282,"d18o_centered",1.02597401966949
"19",3733.80871903342,3777.83157019092,"mean_1980",-44.0228511575001
"20",3637.28605865513,3664.97610490491,"mean_05",-27.6900462497811
"21",-62.0273306992844,-63.816831549955,"Rt12",1.78950085067056
"22",21.4951836504044,24.3706133947545,"Rt17",-2.8754297443501
"23",25.2698744374014,23.9247797394778,"Rt22",1.34509469792359
"24",-21.0252461093939,-24.0152739552417,"Rs12",2.99002784584773
"25",199.577964437291,198.509409225757,"Rs17",1.06855521153403
