"","full_model","null_model","variable","delta_aic"
"1",415.951829120488,414.421393148464,"height",1.53043597202333
"2",618.657255511273,616.793284312351,"dbh",1.8639711989224
"3",686.232360193515,684.46942759223,"hegyi_index",1.76293260128409
"4",374.801714015251,372.910885899488,"wc_22",1.89082811576316
"5",347.919254332435,347.210393523354,"percent_c",0.708860809081159
"6",-84.1901346034525,-84.2759194473905,"percent_n",0.0857848439379723
"7",567.777889954026,567.969988171735,"cn",-0.192098217709031
"8",406.949161218125,404.993991383456,"sla_22",1.95516983466882
"9",806.664020610047,809.853245339658,"age",-3.1892247296106
"10",1043.15994421492,1045.90412165613,"chlor_a_fw_22",-2.74417744120819
"11",899.99819196567,903.585108963306,"chlor_b_fw_22",-3.58691699763563
"12",1101.1158187781,1104.27787698876,"total_chl_fw_22",-3.16205821065455
"13",515.191496809081,515.404612430736,"xc_fw_22",-0.213115621654879
"14",-16.0323795336529,-17.2812781456771,"chla_chlb_22",1.24889861202423
"15",409.494055971728,417.660681488558,"chl_xc_22",-8.16662551682998
"16",-25.0180832418108,-20.3417092608179,"d13c_centered",-4.67637398099288
"17",-18.3539960437056,-18.6930647684422,"d15n_centered",0.339068724736602
"18",-64.7459318669765,-60.7715971133825,"d18o_centered",-3.97433475359396
"19",1261.87841992302,1261.87404959064,"mean_1980",0.00437033237790274
"20",1242.51418249078,1244.37688839258,"mean_05",-1.86270590179993
"21",-65.9977787223899,-67.2306048004671,"Rt12",1.23282607807724
"22",-88.3891693222696,-89.8996401134128,"Rt17",1.51047079114321
"23",57.7536382137448,78.8785332899519,"Rt22",-21.1248950762071
"24",-5.71872597824781,-7.73007367751239,"Rs12",2.01134769926458
"25",-49.7095043589098,-50.5425424640425,"Rs17",0.833038105132694
