"","full_model","null_model","variable","delta_aic"
"1",315.667349549742,316.130499702295,"height",-0.463150152553283
"2",473.923903812225,472.708768986195,"dbh",1.2151348260299
"3",530.858030491396,531.222505174995,"hegyi_index",-0.364474683598814
"4",249.135797907609,249.239259203004,"wc_22",-0.103461295394879
"5",240.62932040611,239.480728864063,"percent_c",1.14859154204731
"6",-71.7702718718668,-72.7440524543241,"percent_n",0.973780582457337
"7",422.900242651477,422.441410017429,"cn",0.458832634048463
"8",302.338603471295,300.687247451883,"sla_22",1.65135601941182
"9",625.126104979402,626.210655967352,"age",-1.08455098794946
"10",801.075213312316,805.688959985912,"chlor_a_fw_22",-4.6137466735961
"11",686.861760716209,693.633629475367,"chlor_b_fw_22",-6.77186875915856
"12",843.794638480483,849.276764322852,"total_chl_fw_22",-5.48212584236944
"13",397.548289928939,398.455051639763,"xc_fw_22",-0.906761710823275
"14",-2.52926283455226,-3.95955408437282,"chla_chlb_22",1.43029124982056
"15",318.904611351682,326.268089827475,"chl_xc_22",-7.36347847579327
"16",-24.6746595216007,-20.694805116905,"d13c_centered",-3.9798544046957
"17",-15.9212720811419,-17.2687203305341,"d15n_centered",1.34744824939217
"18",-41.2518468135351,-35.6158096308579,"d18o_centered",-5.63603718267718
"19",946.564680298792,944.594410480594,"mean_1980",1.97026981819749
"20",955.169941480579,954.927598311215,"mean_05",0.242343169363949
"21",-51.005445484863,-52.5858540785333,"Rt12",1.58040859367028
"22",-65.0308736138235,-66.4083906445491,"Rt17",1.37751703072563
"23",53.8320722424247,71.0919875841529,"Rt22",-17.2599153417281
"24",-12.2807107394314,-13.7219117918293,"Rs12",1.44120105239788
"25",-34.0276752017803,-31.0573326034746,"Rs17",-2.97034259830571
