"","full_model","null_model","variable","delta_aicc"
"1",350.451587351895,348.620721372768,"height",1.83086597912728
"2",468.157093139504,466.822869298201,"dbh",1.33422384130307
"3",522.240797869344,521.022676399592,"hegyi_index",1.21812146975196
"4",246.574160076739,245.599523061891,"wc_22",0.974637014848128
"5",254.410293377931,252.212555228456,"percent_c",2.19773814947456
"6",-62.6965733859848,-63.9636734627522,"percent_n",1.26710007676746
"7",429.200386366925,428.122345291837,"cn",1.07804107508844
"8",327.96870782405,326.081779738259,"sla_22",1.88692808579083
"9",626.254295054609,625.015109972675,"age",1.23918508193333
"10",787.163426894316,794.402493324907,"chlor_a_fw_22",-7.23906643059149
"11",674.824765281761,684.184341707321,"chlor_b_fw_22",-9.35957642555945
"12",829.14083457238,837.358610389278,"total_chl_fw_22",-8.21777581689832
"13",391.008209572839,394.396655440268,"xc_fw_22",-3.38844586742914
"14",-1.93153317035608,-2.92509539261143,"chla_chlb_22",0.993562222255348
"15",314.179653274698,322.489346092763,"chl_xc_22",-8.30969281806495
"16",-14.2036454167736,-11.4320727449205,"d13c_centered",-2.77157267185311
"17",-0.264784788890559,-2.0660649216591,"d15n_centered",1.80128013276854
"18",-32.420712461743,-34.6261767745018,"d18o_centered",2.20546431275874
"19",931.185760901355,929.220747996659,"mean_1980",1.96501290469553
"20",940.544939846939,938.839583950883,"mean_05",1.70535589605674
"21",-32.4875924923194,-34.6774048102021,"Rt12",2.1898123178827
"22",-27.4322598949972,-29.5775612343441,"Rt17",2.14530133934685
"23",95.0389611226258,94.221948953897,"Rt22",0.817012168728795
"24",-6.100182591056,-8.06032097385686,"Rs12",1.96013838280086
"25",-19.0608601315479,-20.7899232006478,"Rs17",1.72906306909983
