"","tree_number","plot_id","pair_id","sp_id","vigor_id","leaf_d13c","leaf_d18o"
"1","T033","CED01","Ter-Pinsylv","Pinsylv","cold_healthy",-26.2123332774637,32.6831824984751
"2","T152","GUA04","Mad-Pinsylv","Pinsylv","hot_damaged",-25.9688758352351,28.9936174176822
"3","T069","ADO02","Gua-Pinsylv","Pinsylv","hot_damaged",-27.1744126999061,31.3570767406465
"4","T001","COR01","Ter-Pinsylv","Pinsylv","hot_damaged",-25.8006417139181,30.9498333929664
"5","T013","COR04","Ter-Pinsylv","Pinsylv","hot_damaged",-25.5700788652614,31.4524499475246
"6","T061","ADO01","Gua-Pinsylv","Pinsylv","hot_damaged",-24.3706350993976,26.5413035724513
"7","T062","ADO01","Gua-Pinsylv","Pinsylv","hot_damaged",-25.6431303841617,28.3439990594091
"8","T063","ADO01","Gua-Pinsylv","Pinsylv","hot_damaged",-25.4972177873985,28.647531064608
"9","T064","ADO01","Gua-Pinsylv","Pinsylv","hot_damaged",-25.1800162410531,28.1607957655929
"10","T065","ADO01","Gua-Pinsylv","Pinsylv","hot_damaged",-24.3597265255545,25.3148753999107
"11","T066","ADO01","Gua-Pinsylv","Pinsylv","hot_healthy",-25.6307480487771,27.7974127975576
"12","T067","ADO02","Gua-Pinsylv","Pinsylv","hot_damaged",-27.2788019616336,23.4162398757973
"13","T068","ADO02","Gua-Pinsylv","Pinsylv","hot_damaged",-24.7225999723027,24.323667944605
"14","T070","ADO02","Gua-Pinsylv","Pinsylv","hot_healthy",-25.6498041255851,26.7755365407276
"15","T071","ADO02","Gua-Pinsylv","Pinsylv","hot_damaged",-24.7294602527476,29.6254948033066
"16","T072","ADO02","Gua-Pinsylv","Pinsylv","hot_damaged",-25.9172414123065,28.304808325521
"17","T073","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-25.2185966286344,26.9097400228846
"18","T074","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-26.4500767152088,26.4082921811725
"19","T075","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-24.0682892843743,24.9757106591937
"20","T076","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-25.2417837753031,29.3314258865234
"21","T077","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-25.4397666572251,29.0092557203098
"22","T078","ADO03","Gua-Pinsylv","Pinsylv","hot_damaged",-26.3340216289964,27.472862844855
"23","T118","ALU01","Gua-Pinsylv","Pinsylv","cold_healthy",-28.8367594560665,29.2849534238397
"24","T119","ALU01","Gua-Pinsylv","Pinsylv","cold_healthy",-28.0908229143916,31.2521864538654
"25","T120","ALU01","Gua-Pinsylv","Pinsylv","cold_healthy",-25.9602053426917,30.7772105342751
"26","T121","ALU01","Gua-Pinsylv","Pinsylv","cold_healthy",-25.9821114411414,28.9226738978616
"27","T122","ALU01","Gua-Pinsylv","Pinsylv","cold_healthy",-26.0749831116167,29.5408306027529
"28","T123","ALU02","Gua-Pinsylv","Pinsylv","cold_healthy",-29.0970691593382,26.4489683744059
"29","T124","ALU02","Gua-Pinsylv","Pinsylv","cold_healthy",-27.838880678115,29.1688483931401
"30","T125","ALU02","Gua-Pinsylv","Pinsylv","cold_healthy",-26.2537059255692,29.3228622405162
"31","T126","ALU02","Gua-Pinsylv","Pinsylv","cold_healthy",-25.6963022558812,30.4877211032827
"32","T127","ALU02","Gua-Pinsylv","Pinsylv","cold_healthy",-26.2747887586748,29.7629421926702
"33","T128","ALU03","Gua-Pinsylv","Pinsylv","cold_healthy",-26.0541537655526,29.5151723429699
"34","T129","ALU03","Gua-Pinsylv","Pinsylv","cold_healthy",-26.3494473071437,30.1810059096865
"35","T130","ALU03","Gua-Pinsylv","Pinsylv","cold_healthy",-26.3421345187732,28.4639563512357
"36","T131","ALU03","Gua-Pinsylv","Pinsylv","cold_healthy",-26.475614468865,28.4233947045712
"37","T132","ALU03","Gua-Pinsylv","Pinsylv","cold_healthy",-25.3275841383166,30.1510344412768
"38","T133","ALU04","Gua-Pinsylv","Pinsylv","cold_healthy",-26.6371870270992,30.1779352666401
"39","T134","ALU04","Gua-Pinsylv","Pinsylv","cold_healthy",-25.8676181887958,30.0463968438607
"40","T135","ALU04","Gua-Pinsylv","Pinsylv","cold_healthy",-25.9795003813519,29.520510119783
"41","T136","ALU04","Gua-Pinsylv","Pinsylv","cold_healthy",-26.9511142299015,29.5103353803449
"42","T137","ALU04","Gua-Pinsylv","Pinsylv","cold_healthy",-26.1007673574867,29.7157372161119
"43","T138","ALU05","Gua-Pinsylv","Pinsylv","cold_healthy",-26.5897940061448,30.5111582207
"44","T139","ALU05","Gua-Pinsylv","Pinsylv","cold_healthy",-27.1818219423195,29.2926361690826
"45","T140","ALU05","Gua-Pinsylv","Pinsylv","cold_healthy",-26.6312566532803,29.0104101957993
"46","T141","ALU05","Gua-Pinsylv","Pinsylv","cold_healthy",-26.0030575054731,30.9246933615289
"47","T142","ALU05","Gua-Pinsylv","Pinsylv","cold_healthy",-25.142720697982,32.7005015356107
"48","T103","ALU06","Gua-Pinsylv","Pinsylv","cold_healthy",-26.417782649503,30.4371843653534
"49","T104","ALU06","Gua-Pinsylv","Pinsylv","cold_healthy",-25.7102054480401,NA
"50","T105","ALU06","Gua-Pinsylv","Pinsylv","cold_healthy",-26.5188900734801,28.2800632668377
"51","T106","ALU06","Gua-Pinsylv","Pinsylv","cold_healthy",-25.1018424350043,31.0668872906658
"52","T107","ALU06","Gua-Pinsylv","Pinsylv","cold_healthy",-25.8056623737683,30.3391555740848
"53","T108","ALU07","Gua-Pinsylv","Pinsylv","cold_healthy",-27.0285654064874,29.9929868754524
"54","T109","ALU07","Gua-Pinsylv","Pinsylv","cold_healthy",-26.2791578246317,29.6919559166404
"55","T110","ALU07","Gua-Pinsylv","Pinsylv","cold_healthy",-25.3804845883853,29.9936304543158
"56","T111","ALU07","Gua-Pinsylv","Pinsylv","cold_healthy",-24.9374091719534,29.5140074967586
"57","T112","ALU07","Gua-Pinsylv","Pinsylv","cold_healthy",-24.0552433777482,30.6566632770633
"58","T113","ALU08","Gua-Pinsylv","Pinsylv","cold_healthy",-24.7497722208485,31.2598704560441
"59","T114","ALU08","Gua-Pinsylv","Pinsylv","cold_healthy",-26.5889772316219,31.435047849023
"60","T115","ALU08","Gua-Pinsylv","Pinsylv","cold_healthy",-26.9511954739494,29.8179077785569
"61","T116","ALU08","Gua-Pinsylv","Pinsylv","cold_healthy",-26.3821349539655,28.1455575584516
"62","T117","ALU08","Gua-Pinsylv","Pinsylv","cold_healthy",-25.1018865975134,30.1623712898613
"63","T031","CED01","Ter-Pinsylv","Pinsylv","cold_healthy",NA,NA
"64","T032","CED01","Ter-Pinsylv","Pinsylv","cold_healthy",-25.2600463279025,32.0929825824159
"65","T034","CED01","Ter-Pinsylv","Pinsylv","cold_healthy",-27.4681531472237,30.9119525387726
"66","T035","CED01","Ter-Pinsylv","Pinsylv","cold_healthy",NA,NA
"67","T036","CED02","Ter-Pinsylv","Pinsylv","cold_healthy",NA,NA
"68","T037","CED02","Ter-Pinsylv","Pinsylv","cold_healthy",-26.16763363091,31.0955432516951
"69","T038","CED02","Ter-Pinsylv","Pinsylv","cold_healthy",-28.0025339566945,31.26669937299
"70","T039","CED02","Ter-Pinsylv","Pinsylv","cold_healthy",-24.4814981243893,31.0901360721397
"71","T040","CED02","Ter-Pinsylv","Pinsylv","cold_healthy",-27.2728820823528,31.7515315230933
"72","T041","CED03","Ter-Pinsylv","Pinsylv","cold_healthy",-25.986646555835,31.600773959936
"73","T042","CED03","Ter-Pinsylv","Pinsylv","cold_healthy",-26.089485822486,32.1021257750866
"74","T043","CED03","Ter-Pinsylv","Pinsylv","cold_healthy",-25.8940926827832,30.9705925813599
"75","T044","CED03","Ter-Pinsylv","Pinsylv","cold_healthy",-24.9657120938735,29.6375780145923
"76","T045","CED03","Ter-Pinsylv","Pinsylv","cold_healthy",-26.2186204427817,28.6233824837676
"77","T046","CED04","Ter-Pinsylv","Pinsylv","cold_healthy",-26.7685797738628,27.7628747481517
"78","T047","CED04","Ter-Pinsylv","Pinsylv","cold_healthy",-25.5865185181599,28.7391594060113
"79","T048","CED04","Ter-Pinsylv","Pinsylv","cold_healthy",-25.2188160439682,28.6816576138949
"80","T049","CED04","Ter-Pinsylv","Pinsylv","cold_healthy",-27.339146283886,30.0971472522731
"81","T050","CED04","Ter-Pinsylv","Pinsylv","cold_healthy",-24.9202198571549,29.132014045914
"82","T051","CED05","Ter-Pinsylv","Pinsylv","cold_healthy",-24.6725324945111,31.0561713938069
"83","T052","CED05","Ter-Pinsylv","Pinsylv","cold_healthy",-25.9787131277353,29.6016666273704
"84","T053","CED05","Ter-Pinsylv","Pinsylv","cold_healthy",-25.8493900102071,27.5428904557617
"85","T054","CED05","Ter-Pinsylv","Pinsylv","cold_healthy",-25.2694430955793,29.7847193399474
"86","T055","CED05","Ter-Pinsylv","Pinsylv","cold_healthy",-25.1444356747746,27.0975611136563
"87","T056","CED06","Ter-Pinsylv","Pinsylv","cold_healthy",-24.6584202553104,NA
