"","plot_id","site","geo_lat","geo_lon","sp_id","spot_status","pair_id"
"1","ADO01","Adobes",40.66647493,-1.68720112,"Pinsylv","Hotspot","Gua_Pinsylv"
"2","ADO02","Adobes",40.66697866,-1.68628757,"Pinsylv","Hotspot","Gua_Pinsylv"
"3","ADO03","Adobes",40.66694517,-1.68708864,"Pinsylv","Hotspot","Gua_Pinsylv"
"4","ALU01","Alustante",40.59980514,-1.69479918,"Pinsylv","Coldspot","Gua_Pinsylv"
"5","ALU02","Alustante",40.59945823,-1.69455647,"Pinsylv","Coldspot","Gua_Pinsylv"
"6","ALU03","Alustante",40.59924607,-1.69421522,"Pinsylv","Coldspot","Gua_Pinsylv"
"7","ALU04","Alustante",40.59894391,-1.69448637,"Pinsylv","Coldspot","Gua_Pinsylv"
"8","ALU05","Alustante",40.59886319,-1.69539999,"Pinsylv","Coldspot","Gua_Pinsylv"
"9","ALU06","Alustante",40.60291671,-1.69505267,"Pinsylv","Coldspot","Gua_Pinsylv"
"10","ALU07","Alustante",40.60235893,-1.69559846,"Pinsylv","Coldspot","Gua_Pinsylv"
"11","ALU08","Alustante",40.60261506,-1.69625309,"Pinsylv","Coldspot","Gua_Pinsylv"
"12","CED01","Cedrillas",40.41361725,-0.77157879,"Pinsylv","Coldspot","Ter_Pinsylv"
"13","CED02","Cedrillas",40.41280717,-0.76877803,"Pinsylv","Coldspot","Ter_Pinsylv"
"14","CED03","Cedrillas",40.4131838,-0.76817604,"Pinsylv","Coldspot","Ter_Pinsylv"
"15","CED04","Cedrillas",40.41323518,-0.76708608,"Pinsylv","Coldspot","Ter_Pinsylv"
"16","CED05","Cedrillas",40.4118709,-0.76610273,"Pinsylv","Coldspot","Ter_Pinsylv"
"17","CED06","Cedrillas",40.41433232,-0.77208453,"Pinsylv","Coldspot","Ter_Pinsylv"
"18","COR01","Corbalan",40.44042441,-0.98581294,"Pinsylv","Hotspot","Ter_Pinsylv"
"19","COR02","Corbalan",40.44049272,-0.98370607,"Pinsylv","Hotspot","Ter_Pinsylv"
"20","COR03","Corbalan",40.44057739,-0.98148966,"Pinsylv","Hotspot","Ter_Pinsylv"
"21","COR04","Corbalan",40.44071301,-0.9820777,"Pinsylv","Hotspot","Ter_Pinsylv"
"22","COR05","Corbalan",40.440251,-0.9863941,"Pinsylv","Hotspot","Ter_Pinsylv"
"23","COR06","Corbalan",40.44037764,-0.98243555,"Pinsylv","Hotspot","Ter_Pinsylv"
"24","GUA01","Guadarrama",40.66411479,-4.1652838,"Pinsylv","Coldspot","Mad_Pinsylv"
"25","GUA04","Guadarrama",40.66729349,-4.16343858,"Pinsylv","Hotspot","Mad_Pinsylv"
"26","GUA05","Guadarrama",40.66717473,-4.16215117,"Pinsylv","Hotspot","Mad_Pinsylv"
"27","GUA06","Guadarrama",40.66751447,-4.16154465,"Pinsylv","Hotspot","Mad_Pinsylv"
"28","GUA07","Guadarrama",40.66806985,-4.15350015,"Pinsylv","Hotspot","Mad_Pinsylv"
"29","GUA08","Guadarrama",40.66538972,-4.14483174,"Pinsylv","Hotspot","Mad_Pinsylv"
"30","GUA09","Guadarrama",40.6648752,-4.14595789,"Pinsylv","Hotspot","Mad_Pinsylv"
"31","GUA10","Guadarrama",40.69907041,-4.14221549,"Pinsylv","Coldspot","Mad_Pinsylv"
"32","GUA11","Guadarrama",40.69769174,-4.14137188,"Pinsylv","Coldspot","Mad_Pinsylv"
"33","GUA12","Guadarrama",40.6982563,-4.13971612,"Pinsylv","Coldspot","Mad_Pinsylv"
"34","GUA13","Guadarrama",40.69977465,-4.14003963,"Pinsylv","Coldspot","Mad_Pinsylv"
"35","GUA14","Guadarrama",40.69503307,-4.13778488,"Pinsylv","Coldspot","Mad_Pinsylv"
"36","GUA15","Guadarrama",40.69411573,-4.13684568,"Pinsylv","Coldspot","Mad_Pinsylv"
"37","RON01","Roncal",42.80237823,-0.94393904,"Pinsylv","Hotspot","Nav_Pinsylv"
"38","RON02","Roncal",42.80306462,-0.94350796,"Pinsylv","Hotspot","Nav_Pinsylv"
"39","RON03","Roncal",42.80208356,-0.94108348,"Pinsylv","Hotspot","Nav_Pinsylv"
"40","RON04","Roncal",42.80252284,-0.94111997,"Pinsylv","Hotspot","Nav_Pinsylv"
"41","RON05","Roncal",42.80230694,-0.94197266,"Pinsylv","Hotspot","Nav_Pinsylv"
"42","RON06","Roncal",42.80193105,-0.93981605,"Pinsylv","Hotspot","Nav_Pinsylv"
"43","TRA01","Traid",40.66100766,-1.78211439,"Pinsylv","Hotspot","Gua_Pinsylv"
"44","TRA02","Traid",40.66084261,-1.78042993,"Pinsylv","Hotspot","Gua_Pinsylv"
"45","TRA03","Traid",40.66168997,-1.78000052,"Pinsylv","Hotspot","Gua_Pinsylv"
"46","TRA04","Traid",40.66122838,-1.78114759,"Pinsylv","Hotspot","Gua_Pinsylv"
"47","URZ01","Urzainki",42.81452077,-0.91500485,"Pinsylv","Coldspot","Nav_Pinsylv"
"48","URZ02","Urzainki",42.81550778,-0.91471279,"Pinsylv","Coldspot","Nav_Pinsylv"
"49","URZ03","Urzainki",42.81607278,-0.91505676,"Pinsylv","Coldspot","Nav_Pinsylv"
"50","URZ04","Urzainki",42.81638392,-0.91757748,"Pinsylv","Coldspot","Nav_Pinsylv"
"51","URZ05","Urzainki",42.81586196,-0.91666517,"Pinsylv","Coldspot","Nav_Pinsylv"
"52","URZ06","Urzainki",42.81713656,-0.91623931,"Pinsylv","Coldspot","Nav_Pinsylv"
